region_id,Comuna,Votos derecha,Votos PDG
1,ALTO HOSPICIO,0.5896153323365503,0.12885687100720403
1,CAMIÑA,0.7523167649536647,0.09519797809604044
1,COLCHANE,0.8479923518164436,0.10325047801147227
1,HUARA,0.6328578975171685,0.12044374009508717
1,IQUIQUE,0.5873445562981136,0.07893790711445732
1,PICA,0.6198923028191321,0.09154260373772569
1,POZO ALMONTE,0.6266914749661705,0.11231393775372124
2,ANTOFAGASTA,0.5166544043876664,0.10625264753751143
2,CALAMA,0.5918629184010948,0.12810058732964588
2,MARIA ELENA,0.41928044280442806,0.15129151291512916
2,MEJILLONES,0.4544198895027624,0.125
2,OLLAGUE,0.6352657004830918,0.17391304347826086
2,SAN PEDRO DE ATACAMA,0.46584070796460175,0.11256637168141594
2,SIERRA GORDA,0.5402597402597402,0.16363636363636364
2,TALTAL,0.5139548129865198,0.08885513575090184
2,TOCOPILLA,0.4883177570093458,0.11009345794392524
3,ALTO DEL CARMEN,0.5450132391879965,0.11959399823477493
3,CALDERA,0.49194401975773255,0.08679289662472069
3,CHAÑARAL,0.3719285840551529,0.21530846738554005
3,COPIAPO,0.5115781126090404,0.08828971715569654
3,DIEGO DE ALMAGRO,0.4131490474411655,0.1692192753081808
3,FREIRINA,0.41737545565006073,0.07867557715674361
3,HUASCO,0.45438480229732714,0.08990501435829468
3,TIERRA AMARILLA,0.517736087025067,0.10137159072993851
3,VALLENAR,0.5188807280855819,0.07077279259140987
4,ANDACOLLO,0.41307959522730703,0.0980214469113427
4,CANELA,0.3584407003633961,0.09497852659398745
4,COMBARBALA,0.44799232561326574,0.08099218857064547
4,COQUIMBO,0.4722736550203674,0.0712987762343154
4,ILLAPEL,0.40404040404040403,0.09143155694879833
4,LA HIGUERA,0.49674454232094983,0.07736499425507469
4,LA SERENA,0.49098107177779016,0.06777909389383978
4,LOS VILOS,0.45395364985678327,0.07638225848450655
4,MONTE PATRIA,0.6368397838791487,0.07349211599955893
4,OVALLE,0.5583395107487027,0.08422699942344124
4,PAIHUANO,0.5905627198124267,0.0600820633059789
4,PUNITAQUI,0.4909008873514814,0.12317641750639194
4,RIO HURTADO,0.5975274725274725,0.08619505494505494
4,SALAMANCA,0.5050449584734711,0.09273114146475393
4,VICUÑA,0.5555859054903032,0.0760721114449604
5,CABILDO,0.5123783506914803,0.0
5,CALERA,0.5268891818749566,0.0
5,CALLE LARGA,0.46737554374093765,0.0
5,CATEMU,0.498850852788194,0.0
5,HIJUELAS,0.6305480682839173,0.0
5,LA CRUZ,0.6028589185829708,0.0
5,LA LIGUA,0.5396395555140536,0.0
5,LIMACHE,0.6056843364170389,0.0
5,LLAILLAY,0.4438491364117025,0.0
5,LOS ANDES,0.49597840755735495,0.0
5,NOGALES,0.5184461466312333,0.0
5,OLMUE,0.6197478991596639,0.0
5,PANQUEHUE,0.5152354570637119,0.0
5,PAPUDO,0.5982312065698042,0.0
5,PETORCA,0.4201517557790718,0.0
5,PUCHUNCAVI,0.5592779441904462,0.0
5,PUTAENDO,0.4757662530491038,0.0
5,QUILLOTA,0.583245521601686,0.0
5,QUILPUE,0.5514356603613538,0.0
5,QUINTERO,0.5685614780709521,0.0
5,RINCONADA,0.5217148442954894,0.0
5,SAN ESTEBAN,0.4828586976237983,0.0
5,SAN FELIPE,0.5022721598002496,0.0
5,SANTA MARIA,0.5061396327914863,0.0
5,VILLA ALEMANA,0.5747219663747715,0.0
5,ZAPALLAR,0.6844319775596073,0.0
5,ALGARROBO,0.6218089602704987,0.0
5,CARTAGENA,0.5622900763358779,0.0
5,CASABLANCA,0.6275161588180979,0.0
5,CONCON,0.6439769488164581,0.0
5,EL QUISCO,0.5409573045726,0.0
5,EL TABO,0.5287334593572779,0.0
5,ISLA DE PASCUA,0.5013888888888889,0.0
5,JUAN FERNANDEZ,0.37772397094430993,0.0
5,SAN ANTONIO,0.4547881347490886,0.0
5,SANTO DOMINGO,0.6706760680215678,0.0
5,VALPARAISO,0.4639792325595274,0.0
5,VIÑA DEL MAR,0.5602893407122232,0.0
6,CODEGUA,0.552190641678044,0.09196971577510239
6,COINCO,0.585210860774119,0.07047949162333911
6,COLTAUCO,0.5635340555975477,0.07583774250440917
6,DOÑIHUE,0.5424237757930397,0.07291345857714814
6,GRANEROS,0.5188284518828452,0.06791116832957837
6,MACHALI,0.5745937457326232,0.06510309982247713
6,MALLOA,0.6315171441991545,0.06270549553781118
6,MOSTAZAL,0.5348914635770409,0.0871620721800506
6,OLIVAR,0.6261870182102558,0.07406993631996425
6,QUINTA DE TILCOCO,0.5630291081990026,0.056708802041053
6,RANCAGUA,0.5432347113290992,0.07752638835522004
6,RENGO,0.5435328156830327,0.06365327271116884
6,REQUINOA,0.6205554890458518,0.08661558721417455
6,CHEPICA,0.658050295561567,0.06782887486223825
6,CHIMBARONGO,0.5990742883591761,0.07766720666512382
6,LA ESTRELLA,0.5849056603773585,0.06533892382948987
6,LAS CABRAS,0.5882431440581838,0.07439781143657836
6,LITUECHE,0.6021420071400237,0.05414518048393495
6,LOLOL,0.6041038020519011,0.06155703077851539
6,MARCHIGUE,0.5983898146414529,0.06066279722898334
6,NANCAGUA,0.5485515021459227,0.10506080114449214
6,NAVIDAD,0.46392149316913606,0.05714835482008851
6,PALMILLA,0.5828167617158443,0.05566575750061989
6,PAREDONES,0.5401962831488829,0.06932553769054083
6,PERALILLO,0.5994627266621894,0.060846205507051714
6,PEUMO,0.5363940477563733,0.0755565809205214
6,PICHIDEGUA,0.5922017239990333,0.07556593893498752
