Comuna,T_Homicidio_2021,T_Homicidio_2022
LOLOL,0.0,0.0
NANCAGUA,0.0,20.5592105263
PALMILLA,0.0,0.0
PERALILLO,0.0,0.0
PLACILLA,0.0,0.0
PUMANQUE,28.3125707814,0.0
SANTA CRUZ,2.4090000241,0.0
TALCA,2.0978170116,3.3370179573
CONSTITUCION,3.9620436221,0.0
CUREPTO,0.0,0.0
EMPEDRADO,0.0,0.0
MAULE,1.6027182101,3.0923371884
PELARCO,0.0,0.0
PENCAHUE,0.0,0.0
RIO CLARO,0.0,0.0
SAN CLEMENTE,2.1389916793,0.0
SAN RAFAEL,0.0,9.8145058396
CAUQUENES,9.0389352134,4.5119227559
CHANCO,10.7307651036,21.5076889988
PELLUHUE,12.2144863808,0.0
CURICO,2.4131710878,3.5768364074
HUALAÑE,0.0,0.0
LICANTEN,0.0,0.0
MOLINA,1.9836153373,0.0
RAUCO,0.0,0.0
ROMERAL,0.0,0.0
SAGRADA FAMILIA,0.0,0.0
TENO,0.0,3.1857279388
VICHUQUEN,0.0,0.0
LINARES,8.8326218166,2.9234067433
COLBUN,0.0,8.6798021005
LONGAVI,6.0512541224,3.0062530063
PARRAL,11.149763625,2.2171474181
RETIRO,0.0,4.6950561059
SAN JAVIER,4.0004800576,1.9803548796
VILLA ALEGRE,0.0,5.6220835442
YERBAS BUENAS,0.0,10.2485267743
CHILLAN,2.9977816416,5.4584340249
BULNES,0.0,0.0
CHILLAN VIEJO,0.0,0.0
EL CARMEN,0.0,0.0
PEMUCO,0.0,23.2126276695
PINTO,0.0,0.0
QUILLON,5.284295075,5.2471403085
SAN IGNACIO,12.0264582081,0.0
YUNGAY,0.0,0.0
QUIRIHUE,8.1873260193,16.3585800752
COBQUECURA,18.9933523267,0.0
COELEMU,0.0,11.8455342336
NINHUE,0.0,0.0
PORTEZUELO,0.0,0.0
RANQUIL,15.9362549801,0.0
TREHUACO,0.0,0.0
SAN CARLOS,5.3098284925,3.527212444
COIHUECO,0.0,3.4792290029
ÑIQUEN,17.2935581496,0.0
SAN FABIAN,0.0,0.0
SAN NICOLAS,0.0,0.0
CONCEPCION,0.8380087237,3.7644775533
CORONEL,5.523597598,5.4893780535
CHIGUAYANTE,2.1873462022,5.4566090449
FLORIDA,0.0,0.0
HUALQUI,3.7927634074,7.545461405
LOTA,4.3790506218,8.7757788504
PENCO,6.0030015008,3.9956048347
SAN PEDRO DE LA PAZ,3.3767812521,3.9993867607
SANTA JUANA,0.0,20.2074632898
TALCAHUANO,1.2630488737,2.5270872161
TOME,8.4928575068,11.868832446
HUALPEN,9.2273622047,7.1624442353
LEBU,0.0,0.0
ARAUCO,5.1587608656,5.1501261781
CAÑETE,2.6925873071,8.0539074874
CONTULMO,0.0,0.0
CURANILAHUE,8.8440788892,14.7357873331
LOS ALAMOS,4.4155958847,0.0
TIRUA,36.2122035126,36.1369590749
LOS ANGELES,5.4538017543,8.5832644413
ANTUCO,0.0,0.0
CABRERO,0.0,0.0
LAJA,0.0,4.1825254088
MULCHEN,0.0,9.6469226317
NACIMIENTO,0.0,10.7135204628
NEGRETE,19.0949016613,9.5111280198
QUILACO,0.0,0.0
QUILLECO,0.0,0.0
SAN ROSENDO,0.0,27.9251605697
SANTA BARBARA,0.0,0.0
TUCAPEL,0.0,0.0
YUMBEL,0.0,0.0
ALTO BIOBIO,0.0,0.0
TEMUCO,1.3120303341,0.652360403
CARAHUE,3.9207998432,7.8397553996
CUNCO,0.0,11.0699064593
CURARREHUE,0.0,0.0
FREIRE,0.0,0.0
GALVARINO,0.0,23.7981913375
GORBEA,0.0,6.614631565
LAUTARO,4.8703275295,7.2547881602
LONCOCHE,0.0,0.0
MELIPEUCO,0.0,15.880578053
NUEVA IMPERIAL,2.9500265502,0.0
PADRE LAS CASAS,2.4093772964,1.1928334566
PERQUENCO,0.0,0.0
PITRUFQUEN,0.0,3.7914691943
PUCON,0.0,6.6028392209
SAAVEDRA,7.8345346286,47.1438673686
TEODORO SCHMIDT,12.6710593006,0.0
TOLTEN,0.0,0.0
VILCUN,0.0,6.3002047567
VILLARRICA,3.3582966719,11.6754232341
CHOLCHOL,0.0,0.0
ANGOL,1.7765460392,5.3119909342
COLLIPULLI,3.8064786266,7.5832259043
CURACAUTIN,0.0,0.0
ERCILLA,11.8399242245,23.7445090823
LONQUIMAY,0.0,0.0
LOS SAUCES,0.0,0.0
LUMACO,9.9850224663,10.0240577386
PUREN,0.0,0.0
RENAICO,0.0,9.1499679751
TRAIGUEN,0.0,10.3616205575
VICTORIA,2.8159495382,5.6288874504
VALDIVIA,1.1221707271,3.3414456208
CORRAL,0.0,0.0
LANCO,5.629996622,0.0
LOS LAGOS,0.0,0.0
MAFIL,0.0,13.5391280802
MARIQUINA,0.0,0.0
PAILLACO,0.0,0.0
PANGUIPULLI,11.0889332446,8.3033490174
LA UNION,5.0513979744,2.5232135648
FUTRONO,0.0,0.0
LAGO RANCO,9.7153405227,9.7200622084
RIO BUENO,3.0346250721,6.0664887163
PUERTO MONTT,2.201390545,2.9040958642
CALBUCO,0.0,8.0599661481
COCHAMO,0.0,0.0
FRESIA,0.0,0.0
FRUTILLAR,4.9050865748,4.8697345995
LOS MUERMOS,0.0,0.0
LLANQUIHUE,5.349309939,0.0
MAULLIN,0.0,0.0
PUERTO VARAS,2.027081813,1.99960008
CASTRO,4.1724037218,2.0738712955
ANCUD,0.0,2.352553697
CHONCHI,6.2142679592,6.1900340452
CURACO DE VELEZ,0.0,0.0
DALCAHUE,6.5884833311,0.0
PUQUELDON,0.0,0.0
QUEILEN,0.0,0.0
QUELLON,0.0,10.0857286939
QUEMCHI,0.0,0.0
QUINCHAO,0.0,12.1344497027
OSORNO,3.4429531357,2.2857404085
PUERTO OCTAY,0.0,0.0
PURRANQUE,4.7483380817,0.0
PUYEHUE,0.0,0.0
RIO NEGRO,14.0558015321,21.1520834802
SAN JUAN DE LA COSTA,0.0,0.0
SAN PABLO,9.4732853354,9.4804702313
CHAITEN,0.0,0.0
FUTALEUFU,0.0,0.0
HUALAIHUE,0.0,0.0
PALENA,0.0,0.0
COYHAIQUE,1.6261220242,1.6206142128
LAGO VERDE,0.0,0.0
AYSEN,0.0,0.0
CISNES,0.0,17.0735871607
GUAITECAS,0.0,0.0
COCHRANE,0.0,26.8961807423
O'HIGGINS,0.0,0.0
TORTEL,0.0,0.0
CHILE CHICO,19.4628260023,0.0
RIO IBAÑEZ,0.0,0.0
PUNTA ARENAS,1.3965992808,1.3877709623
LAGUNA BLANCA,0.0,0.0
RIO VERDE,0.0,0.0
SAN GREGORIO,0.0,0.0
CABO DE HORNOS(EX-NAVARINO),0.0,50.5561172902
ANTARTICA,0.0,0.0
PORVENIR,0.0,0.0
PRIMAVERA,0.0,0.0
TIMAUKEL,0.0,0.0
NATALES,0.0,0.0
TORRES DEL PAINE,0.0,0.0
