region_id,Comuna,Votos LP
1,ALTO HOSPICIO,0.0
1,CAMIÑA,0.0
1,COLCHANE,0.0
1,HUARA,0.0
1,IQUIQUE,0.0
1,PICA,0.0
1,POZO ALMONTE,0.0
2,ANTOFAGASTA,0.0
2,ANTOFAGASTA,0.11914358197962273
2,CALAMA,0.0
2,CALAMA,0.19335737740216397
2,MARIA ELENA,0.0
2,MARIA ELENA,0.20883054892601433
2,MEJILLONES,0.0
2,MEJILLONES,0.10405405405405406
2,OLLAGUE,0.0
2,OLLAGUE,0.1393939393939394
2,SAN PEDRO DE ATACAMA,0.0
2,SAN PEDRO DE ATACAMA,0.2858112695179905
2,SIERRA GORDA,0.0
2,SIERRA GORDA,0.14242424242424243
2,TALTAL,0.0
2,TALTAL,0.4346793349168646
2,TOCOPILLA,0.0
2,TOCOPILLA,0.5298949636412604
3,ALTO DEL CARMEN,0.0
3,CALDERA,0.0
3,CHAÑARAL,0.0
3,COPIAPO,0.0
3,DIEGO DE ALMAGRO,0.0
3,FREIRINA,0.0
3,HUASCO,0.0
3,TIERRA AMARILLA,0.0
3,VALLENAR,0.0
4,ANDACOLLO,0.0
4,ANDACOLLO,0.27445168938944875
4,CANELA,0.0
4,CANELA,0.33378378378378376
4,COMBARBALA,0.0
4,COMBARBALA,0.18683035714285715
4,COQUIMBO,0.0
4,COQUIMBO,0.2499574873312247
4,ILLAPEL,0.0
4,ILLAPEL,0.37804345928964134
4,LA HIGUERA,0.0
4,LA HIGUERA,0.3037409268565047
4,LA SERENA,0.0
4,LA SERENA,0.2778797613584213
4,LOS VILOS,0.0
4,LOS VILOS,0.3468568880962996
4,MONTE PATRIA,0.0
4,MONTE PATRIA,0.2174770687444521
4,OVALLE,0.0
4,OVALLE,0.1452582255271468
4,PAIHUANO,0.0
4,PAIHUANO,0.20634328358208956
4,PUNITAQUI,0.0
4,PUNITAQUI,0.12202970297029703
4,RIO HURTADO,0.0
4,RIO HURTADO,0.161
4,SALAMANCA,0.0
4,SALAMANCA,0.4891755958889132
4,VICUÑA,0.0
4,VICUÑA,0.24228100170974554
5,CABILDO,0.09703579418344518
5,CABILDO,0.0
5,CALERA,0.19020971115256344
5,CALERA,0.0
5,CALLE LARGA,0.16663403172116703
5,CALLE LARGA,0.0
5,CATEMU,0.11067961165048544
5,CATEMU,0.0
5,HIJUELAS,0.16753431140558447
5,HIJUELAS,0.0
5,LA CRUZ,0.16314238113546073
5,LA CRUZ,0.0
5,LA LIGUA,0.11884125868665574
5,LA LIGUA,0.0
5,LIMACHE,0.1472128118263012
5,LIMACHE,0.0
5,LLAILLAY,0.12416851441241686
5,LLAILLAY,0.0
5,LOS ANDES,0.1793954569844393
5,LOS ANDES,0.0
5,NOGALES,0.17255862793139656
5,NOGALES,0.0
5,OLMUE,0.1373593842510361
5,OLMUE,0.0
5,PANQUEHUE,0.13826858366472927
5,PANQUEHUE,0.0
5,PAPUDO,0.09866083629406942
5,PAPUDO,0.0
5,PETORCA,0.08121827411167512
5,PETORCA,0.0
5,PUCHUNCAVI,0.17064931815338422
5,PUCHUNCAVI,0.0
5,PUTAENDO,0.08412836079791847
5,PUTAENDO,0.0
5,QUILLOTA,0.1633694958519464
5,QUILLOTA,0.0
5,QUILPUE,0.1988778168436777
5,QUILPUE,0.0
5,QUINTERO,0.20173229932520897
5,QUINTERO,0.0
5,RINCONADA,0.1411924645562245
5,RINCONADA,0.0
5,SAN ESTEBAN,0.16965986394557822
5,SAN ESTEBAN,0.0
5,SAN FELIPE,0.14219402095221872
5,SAN FELIPE,0.0
5,SANTA MARIA,0.14681107099879662
5,SANTA MARIA,0.0
5,VILLA ALEMANA,0.2022893890675241
5,VILLA ALEMANA,0.0
5,ZAPALLAR,0.09891723251972839
5,ZAPALLAR,0.0
5,ALGARROBO,0.0
5,ALGARROBO,0.1832868262593626
5,CARTAGENA,0.0
5,CARTAGENA,0.16852103120759837
5,CASABLANCA,0.0
5,CASABLANCA,0.17093109671939696
5,CONCON,0.0
5,CONCON,0.14101538606314404
5,EL QUISCO,0.0
5,EL QUISCO,0.1996823563384349
5,EL TABO,0.0
5,EL TABO,0.21076305220883534
5,ISLA DE PASCUA,0.0
5,ISLA DE PASCUA,0.23054114158636027
5,JUAN FERNANDEZ,0.0
5,JUAN FERNANDEZ,0.02456140350877193
5,SAN ANTONIO,0.0
5,SAN ANTONIO,0.19172884382373573
5,SANTO DOMINGO,0.0
5,SANTO DOMINGO,0.1059001512859304
5,VALPARAISO,0.0
5,VALPARAISO,0.2660270467836257
5,VIÑA DEL MAR,0.0
5,VIÑA DEL MAR,0.17205551989730425
6,CODEGUA,0.0
6,CODEGUA,0.23451404641423834
6,COINCO,0.0
6,COINCO,0.17867518884369551
6,COLTAUCO,0.0
6,COLTAUCO,0.08960674157303371
6,DOÑIHUE,0.0
6,DOÑIHUE,0.18255459027940832
6,GRANEROS,0.0
6,GRANEROS,0.11302681992337164
6,MACHALI,0.0
6,MACHALI,0.16975512905360687
6,MALLOA,0.0
6,MALLOA,0.17521025230276333
6,MOSTAZAL,0.0
6,MOSTAZAL,0.20780636720453555
6,OLIVAR,0.0
6,OLIVAR,0.24249955618675662
6,QUINTA DE TILCOCO,0.0
6,QUINTA DE TILCOCO,0.19098673450844994
6,RANCAGUA,0.0
6,RANCAGUA,0.2299356726760719
6,RENGO,0.0
6,RENGO,0.1688539836726258
6,REQUINOA,0.0
6,REQUINOA,0.15487697715289983
6,CHEPICA,0.0
6,CHIMBARONGO,0.0
6,LA ESTRELLA,0.0
