Año comercial,Comuna,region_id,ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,TRANSPORTE Y ALMACENAMIENTO,INDUSTRIA MANUFACTURERA,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,OTRAS ACTIVIDADES DE SERVICIOS,INFORMACION Y COMUNICACIONES,ACTIVIDADES INMOBILIARIAS,"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA","ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",ENSEÑANZA,ACTIVIDADES FINANCIERAS Y DE SEGUROS,CONSTRUCCION,EXPLOTACION DE MINAS Y CANTERAS,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION",ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES,HHI
2021,DONIHUE,6.0,0.0010640617155795037,0.19202313734196583,0.23671072922229489,0.2274931946052871,0.0021501247072330193,0.0015420894411875888,0.0005100295817157395,0.003915227083170824,0.2074280308257879,0.0030051743001094063,0.001799104348052187,0.008132471683357635,0.030609775366971285,0.0016940982576989466,0.04486760232093461,0.03210486208200076,0.0,0.0024731434423196546,0.002254130739582896,0.0,0.0,0.22856153727974132
2021,TOME,8.0,0.009187573500588004,0.23374166993335946,0.05242878609695544,0.1684078139291781,0.01787860969554423,0.001816281196916242,0.0006223049784398275,0.08592218737749902,0.30117600940807526,0.0097984450542271,0.005667712008362733,0.026404677904089898,0.04602116816934535,0.0008787403632562394,0.02785672285378283,0.0016398797857049524,0.0,0.004668104011498759,0.005016006794721024,0.0,0.0,0.22336180627497737
2021,TENO,7.0,0.0004075407810838228,0.29223325473852085,0.03979758480530844,0.2655692853698752,0.010685424672224279,0.0003977205212986704,0.002962772377180466,0.011127336362556134,0.2663558881786659,0.006037495715911669,0.0057615464159488875,0.008534787779275913,0.023770920835939794,0.0019434294114816513,0.0589127204771075,0.0036246578866997348,0.00015417807862689198,0.00019640519570304714,0.0001924770917889862,0.0,0.0,0.287143547262466
2021,LOLOL,6.0,0.0006929686778157627,0.1308382611105978,0.011243416797560751,0.020246234870183868,0.0034937170839878036,0.00022521482029012288,0.0007738150235609351,0.012496535156610922,0.5046717638362745,0.09750069296867782,0.001010579321814654,0.18509193384459022,0.02121061628014414,5.7747389817980226e-06,0.0037766792940959067,0.006242492839323662,0.0,0.00038690751178046753,0.0,0.0,0.0,0.41714226825753187
2021,COMBARBALA,4.0,0.0014060444793855737,0.43792993967615623,0.06098906913807962,0.006425472083213643,0.021211617253526452,0.0036285018822853512,0.0022829324342712003,0.0006501065872427922,0.11141012654400315,0.00013606882058570067,0.0,0.0,0.04821371876086661,0.20481381249716524,0.06587242792132199,0.03259604190919674,0.00012095006274284504,0.0016479446048712637,0.0005593940401856584,0.0,0.0,0.32472246912959246
2021,COLTAUCO,6.0,0.00026659527713638747,0.08417160258340863,0.05618690671396223,0.018135171613738024,0.0006491985409764749,0.006305703354192462,0.00011489252529308748,0.0019777130810159625,0.7458722350500284,0.0036397505828285872,0.007312965007975549,0.055060290689243604,0.008867918214369374,0.00029225088958047496,0.006833316601412174,0.004054702227576437,0.0,0.00022866958917556248,4.461845642449999e-06,0.0,0.0,0.8952864259540738
2021,CHEPICA,6.0,6.565957386936559e-05,0.14056307774562543,0.023046510428147322,0.013253853982487653,0.0008488844907396551,0.0010364832732235568,0.001800948311845456,0.06445425169190652,0.5422449008305936,0.007161583521322947,0.008516984724769137,0.1509326004474231,0.013896379812495016,0.005703002987510611,0.014154328138410381,0.01127937679684459,0.00022042856941858447,0.00015007902598712135,0.0,0.0,0.0,0.4591524720476707
2021,DIEGO DE ALMAGRO,3.0,0.05271056530047019,0.10376151319320695,0.035927603752925266,0.003817334736028512,0.027556519312106835,7.943834939991842e-05,0.006245571848766559,0.002683728020267514,0.006956223028533396,0.040902162011293125,0.04504798505700238,0.0722953389011744,0.44063593619168256,0.02402043927260236,0.10348025849668291,0.0025355862335487474,7.943834939991842e-05,0.03107757047469781,3.4351718659424176e-05,0.0,0.0,0.2844349206300325
2021,PORVENIR,12.0,3.489748514763032e-05,0.0743079130745522,0.02374145709563586,0.45413912091839015,0.0028560101844820654,0.0035051034082279895,0.00018286282217358288,0.0022711283334077813,0.4169062960646804,0.00024707419484522265,2.931388752400947e-05,0.0011627842051190422,0.009550743735203466,0.0028909076696296957,0.007240530218430339,0.0,0.0,0.00026522088712199044,0.0,0.0,0.0,0.5355597558121259
2021,SAN PABLO,10.0,0.00010098268778046363,0.09379082698509875,0.009864746312554042,0.2100787033822889,0.009555486831226371,0.002215307713183921,0.0008267957562025461,0.034384605189247866,0.43630516968247257,0.023740398755388373,0.0058664630182463096,0.13717866993177358,0.026804592187726815,0.0001388511956981375,0.007337023409049311,0.0014894946447618386,4.102421691081335e-05,1.5778544965697444e-05,1.5778544965697444e-05,0.0,0.0,0.3350094958097556
2021,MARCHIGUE,6.0,0.001684453224244934,0.30480768692674026,0.044517692355044686,0.10544901031377837,0.006458003391291209,0.0003469637870537738,0.0008897942280895166,0.005529035832405298,0.3093238123485531,0.00791301282087155,0.0027869026766577315,0.08154208614775062,0.09185586452742972,2.238476045508218e-05,0.020694711040723474,0.013984879094312591,0.00019027046386819852,0.001981051300274773,5.596190113770545e-06,0.0,0.0,0.264879573790932
