Comuna,"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES,ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES INMOBILIARIAS,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,CONSTRUCCION,ENSEÑANZA,EXPLOTACION DE MINAS Y CANTERAS,INDUSTRIA MANUFACTURERA,INFORMACION Y COMUNICACIONES,OTRAS ACTIVIDADES DE SERVICIOS,"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",TRANSPORTE Y ALMACENAMIENTO,Valor por Defecto,aporte,region_id,HHI_2021
ARAUCO,9.271585985206825e-08,0.0005454372047651337,0.000290756936496086,0.0,0.0,0.0007155460061011686,1.9618675944697642e-06,2.6043885032445968e-06,3.3377709546744567e-06,0.0,0.05926400079640698,0.06562295883933941,0.01581828089590897,5.794741240754266e-09,3.7458134538834086e-05,0.04248809069821625,1.2352070428791793e-06,7.011636901312661e-07,6.387195585208981e-06,0.0,0.007313123148900479,0.0,6568300,8.0,0.19211197876464503
ARICA,9.21170649170228e-05,0.0013066059153197995,0.0015434623368456761,0.0,0.0,0.0013184466075103502,0.0003875297235521309,0.0010833119606489003,0.00035591755002014713,6.67618568939648e-07,0.0023888567626746057,0.17146081881757155,0.006386597585513763,5.836488434312637e-05,0.0005657624648684446,0.010080468453060567,2.936541564338469e-05,7.669106515377753e-06,2.391995583298235e-05,1.9213193828700006e-06,0.013737505756747185,3.406217188467592e-11,34268400,15.0,0.210829309333599
AYSEN,8.394401072476552e-06,0.0006145882196470212,0.00012853430753697554,0.0,0.0,0.005008382772684753,1.5446967447999195e-05,0.0008394401072476551,0.00015931970235105383,0.0,0.017202927623828135,0.09581093019495097,0.00906458276039827,2.3618575720744987e-06,0.00042368017977060873,0.001941662100197115,3.9354348649876645e-05,1.8128732629943498e-05,6.9979789659020016e-06,6.347373211702496e-10,0.05262037453076789,0.0,3969200,11.0,0.18390510742045602
BUIN,0.00019724354727305592,0.0002706808342079348,0.0005133665400420271,0.0,0.0,0.0006664284539653777,0.00026159639266094646,0.0002774684872225776,0.00032833277663026295,1.4979503402627173e-10,0.026977546366009037,0.13178813577126985,0.0017561634248363877,0.00019501530869315664,1.565216736511177e-05,0.056740697100492996,2.351992683479065e-05,1.4533488688813945e-06,5.112888361091347e-06,2.340547406660496e-08,0.0013171039285077442,0.0,32682200,13.0,0.22133554081851034
BULNES,8.063604134490176e-06,3.412879326941812e-05,4.0458013799785775e-06,0.0,0.0,6.835186316052583e-05,0.0051644079331168895,0.0004662646097297976,2.528625862486611e-07,0.0,0.05958064101503823,0.04219574870813314,0.00022402050218948857,6.321564656216527e-08,1.2634379741974628e-06,0.1400792309828233,4.410658468095159e-06,0.0,0.00015581585055192586,0.0,0.0010481375126661081,0.0,6761400,16.0,0.24903484735086842
CABILDO,0.0,0.00016403122901028914,1.766349392607538e-05,0.0,0.0,0.0007731076430582128,0.002622233746148791,0.00041503877427557096,2.8261590281720614e-06,0.0,0.02955527436273558,0.0601013293289139,0.0030385437048348865,4.892934605561047e-10,0.1268140031506115,0.0001179593567643263,4.7021101559441665e-07,4.403641145004943e-09,0.00028784596061709033,0.0,0.0006236735058566939,1.957173842224419e-09,4520800,5.0,0.2245340074769051
CABO DE HORNOS,0.0,0.004614936154229295,1.285130611518799e-07,0.0,0.0,0.07491440789165293,0.0,0.0,0.0045663582171138846,0.0,0.00043231793771492404,0.044659606009155084,0.0004549683647429429,3.2128265287969977e-08,0.0,0.002273267538715604,0.0001807214922448311,5.140522446075196e-07,0.0,7.228859689793245e-06,0.07413150632311571,0.0,557900,12.0,0.20623599348194602
CABRERO,1.2814739769978226e-06,7.975197923513608e-05,0.0001009360987194691,0.0,0.0,0.0005262054990026431,8.923844631485608e-08,8.546719496588256e-05,0.0001427815141037697,0.0,0.0017385686252930734,0.055338081585485206,0.019400557131045493,1.5820666382689167e-08,2.4719791222951824e-10,0.085318402587345,6.179947805737955e-07,2.2309611578714016e-06,1.6218655021378693e-06,0.0,0.04992926766694723,0.0,6360300,8.0,0.2126658774838711
CALAMA,0.00025297353030929244,0.005691235165222785,0.0021227357161549645,0.0,0.0,0.00804354280181871,1.4854296567973686e-05,0.000340384112288349,0.0014725313092677978,6.771374137640947e-08,1.3043254936116404e-06,0.03161958360232441,0.011756484865295406,0.00016272819196486352,0.0016801980266470768,0.021752162482422118,7.797041702018463e-05,1.5920252972498052e-05,0.0020608501717363126,5.828606584094703e-06,0.026471374581130004,3.343888463032567e-11,34586300,2.0,0.11354273020240072
CALBUCO,8.647854220943157e-08,4.276648252134404e-05,5.600711210983164e-06,0.0,0.0,0.0002076349798448452,0.0,1.4503294743332334e-06,6.639042006899128e-06,0.0,0.005964318183609657,0.2957290737839611,0.024449220512923326,1.9609646759508296e-08,4.412170520889366e-08,0.025498111691908697,3.796427612640806e-07,1.4503294743332334e-06,1.9609646759508294e-10,1.7648682083557467e-09,0.0011905596993241568,0.0,7141100,10.0,0.3530973575598798
CALDERA,2.3141711524825454e-07,0.0037068547195893507,2.343188689199221e-05,0.0,0.0,0.0001798147144403195,9.256684609930182e-07,0.0008365764875148658,0.0038249353026447723,0.0,0.008519856130872163,0.0845120488767411,0.0005057765689447633,2.259932766096236e-08,5.832072893498589e-05,0.11911422296822098,1.3017212732714319e-05,7.322182162151804e-08,1.1073670553871555e-06,2.9288728648607215e-05,0.0035870231406267567,0.0,3326000,3.0,0.2249135277405843
CALERA DE TANGO,4.929569009678092e-07,0.00014164813033312078,5.259543684806886e-05,0.0,0.0,0.000863023620091273,0.008135193250620093,0.00100745676630095,0.00024230869785162542,0.0,0.0163352697905953,0.0988253386091316,0.0015519785426717206,0.000511349750502566,0.0,0.0521897782594677,4.222831275393489e-06,3.5923391058034877e-07,2.5636837998131054e-06,7.331304297558138e-11,0.005831947071238656,0.0,11679100,13.0,0.18569552670485248
CALLE LARGA,8.336556423584467e-09,0.0005463445617760317,0.0,0.0,0.0,0.0003653116076176596,2.3712871604862483e-07,0.0016409686927024137,0.027261118432650618,0.0,0.02094330546123949,0.029810533720523648,0.01067008454117616,0.00020028576807661682,2.869257464188361e-05,0.0020344198833858592,4.0849126475563884e-07,1.4820544753039052e-08,6.802722670049631e-05,1.4820544753039052e-08,0.06606074882567861,0.0,3285700,5.0,0.1596305248937962
CAMARONES,0.0,0.003002439482079189,0.0,0.0,0.0,0.0,0.003002439482079189,0.0,0.0,0.0,0.27097016325764683,0.048039031713267025,0.0,0.0,0.042221805216738593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7300,15.0,0.3672358791518108
CAMINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002777777777777778,0.0011111111111111111,0.7511111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0,6000,1.0,0.7594444444444445
CANELA,0.0,0.10702556724710124,5.951755737509921e-05,0.0,0.0,5.6343867317844096e-05,5.951755737509921e-05,1.1129652803524761e-05,0.0016701435238289345,0.0,6.956033002202976e-07,0.04912563534666434,0.024194647889087442,0.0,0.015651074254956696,0.00018937799848497603,3.912768563739174e-05,0.00025111279137952745,0.0,0.0,0.005540871563111044,0.0,479600,4.0,0.20387476253842338
CANETE,1.8761639449131102e-06,0.0006330156361616669,0.0003704982035149881,0.0,0.0,0.00014960862758141996,8.338506421836046e-07,8.315408066096888e-06,1.3873449915831785e-05,0.0,0.044221802640076927,0.09865945308558681,0.0221617318504075,9.239342295663207e-09,1.788736668440397e-05,0.008439751712170816,5.433310728743446e-06,2.2919343482179544e-06,1.4436472336973762e-06,8.120515689547741e-05,0.022788562901820006,0.0,4161400,8.0,0.19755759418512198
CARAHUE,1.0696381385297123e-06,0.0007398580040396169,0.00016713095914526756,0.0,0.0,0.00037005201040573937,1.71142102164754e-07,2.406685811691853e-06,0.00030912542203508683,0.0,0.028593834128710905,0.2474725493683728,0.00041934093582918843,2.406685811691853e-06,0.002547279048620198,0.0007855529453176061,0.0006578702407213144,2.2633543011288713e-05,0.0,0.0,0.01540278919482786,0.0,966900,9.0,0.29749406995290095
