Comuna,Poblacion 2021,Poblacion 2022,region_id
PALMILLA,13386,13458,6
PANGUIPULLI,36072,36130,14
PANQUEHUE,7694,7745,5
PAPUDO,6270,6331,5
PAREDONES,6335,6309,6
PARRAL,44844,45103,7
PEDRO AGUIRRE CERDA,107409,106496,13
PELARCO,9171,9253,7
PELLUHUE,8187,8276,7
PEMUCO,8631,8616,16
PENCAHUE,8614,8622,7
PENCO,49975,50055,8
PERALILLO,11946,12027,6
PERQUENCO,7241,7253,9
PETORCA,10590,10607,5
PEUMO,14987,15005,6
PEÑAFLOR,102667,104106,13
PEÑALOLÉN,269296,270707,13
PICA,6085,6165,1
PICHIDEGUA,20855,20937,6
PICHILEMU,18136,18367,6
PINTO,11965,12039,16
PIRQUE,31134,31787,13
PITRUFQUEN,26245,26375,9
PLACILLA,9199,9228,6
PORTEZUELO,4925,4908,16
PORVENIR,7421,7500,12
POZO ALMONTE,17853,18172,1
PRIMAVERA,689,684,12
PROVIDENCIA,160043,161568,13
PUCHUNCAVÍ,20391,20674,5
PUCÓN,30052,30290,9
PUDAHUEL,256607,258535,13
PUENTE ALTO,655033,660361,13
PUERTO MONTT,272555,275473,10
PUERTO OCTAY,9159,9123,10
PUERTO VARAS,49332,50010,10
PUMANQUE,3532,3529,6
PUNITAQUI,12271,12358,4
PUNTA ARENAS,143205,144116,12
PUQUELDÓN,4199,4195,10
PURRANQUE,21060,21028,10
PURÉN,12167,12146,9
PUTAENDO,17768,17862,5
PUTRE,2536,2548,15
PUYEHUE,11800,11809,10
QUEILÉN,5547,5545,10
QUELLÓN,29538,29745,10
QUEMCHI,8779,8770,10
QUILACO,4186,4188,8
QUILICURA,261993,266818,13
QUILLECO,10023,10010,8
QUILLOTA,98561,99401,5
QUILLÓN,18924,19058,16
QUILPUÉ,168931,170531,5
QUINCHAO,8272,8241,10
QUINTA DE TILCOCO,13995,14097,6
QUINTA NORMAL,138904,140055,13
QUINTERO,36821,37441,5
QUIRIHUE,12214,12226,16
RANCAGUA,267829,270112,6
RAUCO,11384,11510,7
RECOLETA,193605,195185,13
RENAICO,10884,10929,9
RENCA,161959,162517,13
RENGO,64313,64831,6
REQUÍNOA,30749,31087,6
RETIRO,21194,21299,7
RINCONADA,11471,11663,5
ROMERAL,16370,16557,7
RÁNQUIL,6275,6284,16
RÍO BUENO,32953,32968,14
RÍO CLARO,14859,14952,7
RÍO HURTADO,4361,4343,4
RÍO IBÁÑEZ,2705,2708,11
RÍO NEGRO,14229,14183,10
RÍO VERDE,212,209,12
SAAVEDRA,12764,12727,9
SAGRADA FAMILIA,19556,19627,7
SALAMANCA,29359,29560,4
SAN ANTONIO,97323,97758,5
SAN BERNARDO,339043,342411,13
SAN CARLOS,56499,56702,16
SAN CLEMENTE,46751,47177,7
SAN ESTEBAN,20952,21226,5
SAN FABIÁN,4693,4728,16
SAN FELIPE,84445,85270,5
SAN FERNANDO,79353,79964,6
SAN GREGORIO,674,666,12
SAN IGNACIO,16630,16624,16
SAN JAVIER,49994,50496,7
SAN JOAQUÍN,103871,103704,13
SAN JOSÉ DE MAIPO,18917,19131,13
SAN JUAN DE LA COSTA,7590,7536,10
SAN MIGUEL,136835,139729,13
SAN NICOLÁS,12261,12339,16
SAN PABLO,10556,10548,10
SAN PEDRO,12132,12274,13
SAN PEDRO DE ATACAMA,10675,10818,2
SAN PEDRO DE LA PAZ,148070,150023,8
SAN RAFAEL,10078,10189,7
SAN RAMÓN,86017,85274,13
SAN ROSENDO,3595,3581,8
SAN VICENTE,51100,51518,6
SANTA BÁRBARA,14625,14644,8
SANTA CRUZ,41511,41884,6
SANTA JUANA,14819,14846,8
SANTA MARÍA,16539,16686,5
SANTIAGO,517280,527014,13
SANTO DOMINGO,12126,12295,5
SIERRA GORDA,1772,1784,2
TALAGANTE,82900,83814,13
TALCA,238343,239735,7
TALCAHUANO,158347,158285,8
TALTAL,13806,13883,2
TEMUCO,304871,306579,9
TENO,31132,31390,7
TEODORO SCHMIDT,15784,15774,9
TIERRA AMARILLA,14374,14401,3
TILTIL,21783,22033,13
TIMAUKEL,281,279,12
TIRÚA,11046,11069,8
TOCOPILLA,28214,28301,2
TOLTÉN,10027,9993,9
TOMÉ,58873,58978,8
TORRES DEL PAINE,1040,1055,12
TORTEL,576,579,11
TRAIGUÉN,19315,19302,9
TREGUACO,5718,5736,16
TUCAPEL,15273,15322,8
VALDIVIA,178226,179563,14
VALLENAR,57224,57301,3
VALPARAÍSO,317424,318638,5
VICHUQUÉN,4365,4347,7
VICTORIA,35512,35531,9
VICUÑA,29990,30187,4
VILCÚN,31258,31745,9
VILLA ALEGRE,17656,17787,7
VILLA ALEMANA,141528,143536,5
VILLARRICA,59554,59955,9
VITACURA,97695,97651,13
VIÑA DEL MAR,364472,366981,5
YERBAS BUENAS,19366,19515,7
YUMBEL,22158,22174,8
YUNGAY,18670,18730,16
ZAPALLAR,8100,8194,5
ÑIQUÉN,11565,11554,16
ÑUÑOA,255823,259712,13
