region_id,Comuna,riqueza_2021
11.0,RIO IBANEZ,214100
10.0,RIO NEGRO,2636500
12.0,RIO VERDE,10500
7.0,ROMERAL,20405900
9.0,SAAVEDRA,356900
7.0,SAGRADA FAMILIA,15691900
4.0,SALAMANCA,3956600
5.0,SAN ANTONIO,28645100
13.0,SAN BERNARDO,159409900
16.0,SAN CARLOS,7118700
7.0,SAN CLEMENTE,5210100
5.0,SAN ESTEBAN,4550900
16.0,SAN FABIAN,314000
6.0,SAN FCO DE MOSTAZAL,20860200
5.0,SAN FELIPE,21088400
6.0,SAN FERNANDO,27354700
12.0,SAN GREGORIO,66800
16.0,SAN IGNACIO,1685200
7.0,SAN JAVIER,10096400
13.0,SAN JOAQUIN,59132500
13.0,SAN JOSE MAIPO,3107400
10.0,SAN JUAN DE LA COSTA,145900
13.0,SAN MIGUEL,61480000
16.0,SAN NICOLAS,1574900
10.0,SAN PABLO,3359500
2.0,SAN PEDRO DE ATACAMA,860400
8.0,SAN PEDRO DE LA PAZ,34910900
13.0,SAN PEDRO DE MELIPILLA,3452200
7.0,SAN RAFAEL,3381900
13.0,SAN RAMON,5503100
8.0,SAN ROSENDO,179600
6.0,SAN VICENTE T-T,11443600
8.0,SANTA BARBARA,1676400
6.0,SANTA CRUZ,19877100
8.0,SANTA JUANA,1799100
5.0,SANTA MARIA,3509200
13.0,SANTIAGO,739305300
5.0,SANTO DOMINGO,88876400
2.0,SIERRA GORDA,1322700
,Sin Comuna,2910900
13.0,TALAGANTE,17104400
7.0,TALCA,80813200
8.0,TALCAHUANO,52452000
2.0,TALTAL,3044900
9.0,TEMUCO,110804700
7.0,TENO,12600800
9.0,TEODORO SCHMIDT,915000
3.0,TIERRA AMARILLA,4791500
13.0,TIL-TIL,9094700
12.0,TIMAUKEL,149300
8.0,TIRUA,797700
2.0,TOCOPILLA,2992700
9.0,TOLTEN,912900
8.0,TOME,5255200
12.0,TORRES DE PAINE,16100
11.0,TORTEL,2400
9.0,TRAIGUEN,2747900
16.0,TREHUACO,1896000
8.0,TUCAPEL,4977300
14.0,VALDIVIA,42675800
3.0,VALLENAR,8584100
5.0,VALPARAISO,93899100
7.0,VICHUQUEN,5537300
9.0,VICTORIA,5699300
4.0,VICUNA,6278200
9.0,VILCUN,6508700
7.0,VILLA ALEGRE,2181200
5.0,VILLA ALEMANA,11327200
9.0,VILLARRICA,21376000
5.0,VINA DEL MAR,173201400
13.0,VITACURA,424227600
7.0,YERBAS BUENAS,1731900
8.0,YUMBEL,2176000
16.0,YUNGAY,1856800
5.0,ZAPALLAR,32317100
