region_id,Comuna,Coalición_DER_IND,Coalicion_DER
9,CURACAUTIN,1.0,0.0
9,ERCILLA,0.0,0.0
9,GALVARINO,0.0,0.0
9,LAUTARO,0.0,0.0
9,LONQUIMAY,0.0,0.0
9,LOS SAUCES,1.0,1.0
9,LUMACO,1.0,1.0
9,MELIPEUCO,0.0,0.0
9,PERQUENCO,0.0,0.0
9,PUREN,0.0,0.0
9,RENAICO,1.0,0.0
9,TRAIGUEN,0.0,0.0
9,VICTORIA,1.0,0.0
9,VILCUN,1.0,1.0
9,CARAHUE,1.0,1.0
9,CHOLCHOL,1.0,0.0
9,CUNCO,1.0,0.0
9,CURARREHUE,0.0,0.0
9,FREIRE,0.0,0.0
9,GORBEA,0.0,0.0
9,LONCOCHE,1.0,0.0
9,NUEVA IMPERIAL,0.0,0.0
9,PADRE LAS CASAS,1.0,0.0
9,PITRUFQUEN,1.0,1.0
9,PUCON,1.0,1.0
9,SAAVEDRA,1.0,0.0
9,TEMUCO,0.0,0.0
9,TEODORO SCHMIDT,1.0,1.0
9,TOLTEN,1.0,1.0
9,VILLARRICA,1.0,0.0
10,FRESIA,0.0,0.0
10,FRUTILLAR,0.0,0.0
10,LLANQUIHUE,0.0,0.0
10,LOS MUERMOS,1.0,1.0
10,OSORNO,0.0,0.0
10,PUERTO OCTAY,0.0,0.0
10,PUERTO VARAS,1.0,0.0
10,PURRANQUE,0.0,0.0
10,PUYEHUE,1.0,1.0
10,RIO NEGRO,1.0,1.0
10,SAN JUAN DE LA COSTA,0.0,0.0
10,SAN PABLO,1.0,1.0
10,ANCUD,1.0,0.0
10,CALBUCO,1.0,0.0
10,CASTRO,1.0,1.0
10,CHAITEN,0.0,0.0
10,CHONCHI,1.0,1.0
10,COCHAMO,1.0,0.0
10,CURACO DE VELEZ,0.0,0.0
10,DALCAHUE,1.0,1.0
10,FUTALEUFU,1.0,0.0
10,HUALAIHUE,1.0,0.0
10,MAULLIN,1.0,1.0
10,PALENA,1.0,1.0
10,PUERTO MONTT,0.0,0.0
10,PUQUELDON,0.0,0.0
10,QUEILEN,0.0,0.0
10,QUELLON,0.0,0.0
10,QUEMCHI,0.0,0.0
10,QUINCHAO,1.0,0.0
11,AYSEN,0.0,0.0
11,CHILE CHICO,1.0,0.0
11,CISNES,1.0,1.0
11,COCHRANE,0.0,0.0
11,COYHAIQUE,0.0,0.0
11,GUAITECAS,0.0,0.0
11,LAGO VERDE,1.0,1.0
11,O'HIGGINS,0.0,0.0
11,RIO IBAÑEZ,1.0,1.0
11,TORTEL,0.0,0.0
12,ANTARTICA,0.0,0.0
12,CABO DE HORNOS(EX-NAVARINO),0.0,0.0
12,LAGUNA BLANCA,0.0,0.0
12,NATALES,1.0,0.0
12,PORVENIR,1.0,0.0
12,PRIMAVERA,0.0,0.0
12,PUNTA ARENAS,1.0,1.0
12,RIO VERDE,1.0,1.0
12,SAN GREGORIO,0.0,0.0
12,TIMAUKEL,1.0,0.0
12,TORRES DEL PAINE,1.0,0.0
13,LA GRANJA,0.0,0.0
13,MACUL,1.0,0.0
13,ÑUÑOA,0.0,0.0
13,PROVIDENCIA,1.0,1.0
13,SAN JOAQUIN,1.0,0.0
13,SANTIAGO,0.0,0.0
13,LA REINA,1.0,1.0
13,LAS CONDES,1.0,1.0
13,LO BARNECHEA,1.0,1.0
13,PEÑALOLEN,0.0,0.0
13,VITACURA,1.0,1.0
13,LA FLORIDA,1.0,1.0
13,LA PINTANA,0.0,0.0
13,PIRQUE,0.0,0.0
13,PUENTE ALTO,1.0,1.0
13,SAN JOSE DE MAIPO,0.0,0.0
13,EL BOSQUE,0.0,0.0
13,LA CISTERNA,1.0,0.0
13,LO ESPEJO,0.0,0.0
13,PEDRO AGUIRRE CERDA,1.0,0.0
13,SAN MIGUEL,0.0,0.0
13,SAN RAMON,0.0,0.0
13,ALHUE,0.0,0.0
13,BUIN,1.0,1.0
13,CALERA DE TANGO,1.0,1.0
13,CURACAVI,1.0,1.0
13,EL MONTE,0.0,0.0
13,ISLA DE MAIPO,1.0,1.0
13,MARIA PINTO,1.0,1.0
13,MELIPILLA,0.0,0.0
13,PADRE HURTADO,0.0,0.0
13,PAINE,1.0,1.0
13,PEÑAFLOR,0.0,0.0
13,SAN BERNARDO,0.0,0.0
13,SAN PEDRO,0.0,0.0
13,TALAGANTE,0.0,0.0
13,CERRILLOS,1.0,0.0
13,COLINA,1.0,1.0
13,ESTACION CENTRAL,0.0,0.0
13,LAMPA,1.0,0.0
13,MAIPU,0.0,0.0
13,PUDAHUEL,0.0,0.0
13,QUILICURA,0.0,0.0
13,TILTIL,0.0,0.0
13,CERRO NAVIA,1.0,0.0
13,CONCHALI,1.0,0.0
13,HUECHURABA,0.0,0.0
13,INDEPENDENCIA,1.0,0.0
13,LO PRADO,0.0,0.0
13,QUINTA NORMAL,0.0,0.0
13,RECOLETA,0.0,0.0
13,RENCA,1.0,0.0
14,CORRAL,1.0,0.0
14,FUTRONO,1.0,1.0
14,LAGO RANCO,1.0,1.0
14,LANCO,0.0,0.0
14,LA UNION,0.0,0.0
14,LOS LAGOS,0.0,0.0
14,MAFIL,0.0,0.0
14,MARIQUINA,1.0,1.0
14,PAILLACO,1.0,0.0
14,PANGUIPULLI,1.0,0.0
14,RIO BUENO,1.0,1.0
14,VALDIVIA,0.0,0.0
15,ARICA,0.0,0.0
15,CAMARONES,0.0,0.0
15,GENERAL LAGOS,1.0,1.0
15,PUTRE,1.0,0.0
16,BULNES,1.0,0.0
16,CHILLAN,0.0,0.0
16,CHILLAN VIEJO,1.0,0.0
16,COBQUECURA,0.0,0.0
16,COELEMU,0.0,0.0
16,COIHUECO,1.0,1.0
16,EL CARMEN,0.0,0.0
16,NINHUE,0.0,0.0
16,ÑIQUEN,1.0,1.0
16,PEMUCO,1.0,1.0
16,PINTO,1.0,1.0
16,PORTEZUELO,1.0,1.0
16,QUILLON,0.0,0.0
16,QUIRIHUE,0.0,0.0
16,RANQUIL,1.0,1.0
16,SAN CARLOS,0.0,0.0
16,SAN FABIAN,1.0,1.0
16,SAN IGNACIO,1.0,0.0
16,SAN NICOLAS,1.0,1.0
16,TREHUACO,1.0,0.0
16,YUNGAY,0.0,0.0
