Comuna,pol_favor,pol_contra,region_id
RIO HURTADO,0.0521459989090913,0.0501304058478061,4
RIO IBAÑEZ,0.073763711828544,0.0743459264042435,11
RIO NEGRO,0.0357129738453848,0.0357922310263297,10
RIO VERDE,0.0194917978180364,0.0194751284588684,12
ROMERAL,0.0263978558957807,0.0269781975326558,7
SAAVEDRA,0.0394405730149569,0.0393840703020651,9
SAGRADA FAMILIA,0.0410511088375625,0.0390734830625971,7
SALAMANCA,0.0336645745713666,0.0343339280573312,4
SAN ANTONIO,0.0301350775997688,0.0277347534154823,5
SAN BERNARDO,0.0360984145974883,0.0342977847078198,13
SAN CARLOS,0.0301896697284314,0.029181209127646,16
SAN CLEMENTE,0.0404531539433513,0.0391716244268197,7
SAN ESTEBAN,0.0321170311605446,0.0316365201823108,5
SAN FABIAN,0.0344607964031587,0.0333428529622696,16
SAN FELIPE,0.0305201489410322,0.0302892959611805,5
SAN FERNANDO,0.0338699625702133,0.033811839059177,6
SAN GREGORIO,0.0207464011150554,0.0208879173290938,12
SAN IGNACIO,0.0259307599075767,0.0264598613301447,16
SAN JAVIER,0.0399643750670163,0.0387065428114596,7
SAN JOAQUIN,0.0325009746580384,0.0277578165093035,13
SAN JOSE DE MAIPO,0.0392691500080857,0.0330139612026709,13
SAN JUAN DE LA COSTA,0.0369281538432443,0.0368587099975078,10
SAN MIGUEL,0.03403194905102,0.0345269030815615,13
SAN NICOLAS,0.0269046193101202,0.0270631723814685,16
SAN PABLO,0.0389230076025115,0.040239123746379,10
SAN PEDRO,0.0338437566203404,0.0355143137186626,13
SAN PEDRO DE ATACAMA,0.026429192534126,0.0265655739368581,2
SAN PEDRO DE LA PAZ,0.060930384969111,0.0491803337907616,8
SAN RAFAEL,0.0310915322275159,0.0319515196268605,7
SAN RAMON,0.0317523982922104,0.03027491296426,13
SAN ROSENDO,0.0396177485063583,0.0395106633159384,8
SAN VICENTE,0.0313874611725921,0.0307539587569855,6
SANTA BARBARA,0.0327870137384472,0.0325357043719134,8
SANTA CRUZ,0.0351865617080599,0.0339759798445769,6
SANTA JUANA,0.033483706276394,0.0326964696243008,8
SANTA MARIA,0.0271163364099807,0.0280133459891214,5
SANTIAGO,0.0442522956912256,0.0434009674784661,13
SANTO DOMINGO,0.0576588095438721,0.0562137977091283,5
SIERRA GORDA,0.023673743410499,0.0233976686623782,2
TALAGANTE,0.0430452002155924,0.0411722550114275,13
TALCA,0.038360262984188,0.0365174523606407,7
TALCAHUANO,0.0445806534400564,0.0412813990610487,8
TALTAL,0.0298826827726008,0.031242840582329,2
TEMUCO,0.0395199696400118,0.0372777769521688,9
TENO,0.0304910940866182,0.0305948557899702,7
TEODORO SCHMIDT,0.035351545465395,0.0358655419172702,9
TIERRA AMARILLA,0.0434345604525192,0.0412150093381788,3
TILTIL,0.0401116393921053,0.0374223155943099,13
TIMAUKEL,0.0231174123944381,0.0230853210849557,12
TIRUA,0.0485951494332337,0.0490982385022563,8
TOCOPILLA,0.0293546747832971,0.0293563604715684,2
TOLTEN,0.0405152310040741,0.0396592590888981,9
TOME,0.0447758697249072,0.0417425672433375,8
TORRES DEL PAINE,0.0276443490807653,0.0275474068136219,12
TORTEL,0.0178745271713899,0.0179251701985327,11
TRAIGUEN,0.0322895181320764,0.0325308844817944,9
TREHUACO,0.0299324804201741,0.0299167857155117,16
TUCAPEL,0.0296385883817115,0.0293797307217089,8
VALDIVIA,0.0327389615988541,0.0314495946088763,14
VALLENAR,0.0317078321219956,0.0304981382770735,3
VALPARAISO,0.0412909609933387,0.0377020571680167,5
VICHUQUEN,0.0511612879851848,0.0504988166869779,7
VICTORIA,0.0328302320603595,0.0359999400109505,9
VICUÑA,0.028260481782413,0.0279309229186135,4
VILCUN,0.0445297051432191,0.0443586378103622,9
VILLA ALEGRE,0.0294905345750551,0.0295957557951714,7
VILLA ALEMANA,0.0289297507558058,0.0285951326677412,5
VILLARRICA,0.0341329901244711,0.0336543765598517,9
VITACURA,0.0434827047857646,0.0450151856293067,13
VIÑA DEL MAR,0.0837320078091505,0.0697468085000883,5
YERBAS BUENAS,0.0424887026818624,0.0431893635502835,7
YUMBEL,0.0370640293516463,0.0356583183177422,8
YUNGAY,0.0287300444968256,0.0304230575586807,16
ZAPALLAR,0.0365944547202787,0.0347682557277018,5
ÑIQUEN,0.0322940368484042,0.0327966604041549,16
ÑUÑOA,0.035217219981413,0.0344190792864607,13
