region_id,Comuna,antagonism_2022
5,ALGARROBO,0.051181143964603604
13,ALHUE,0.07628888736059941
8,ALTO BIOBIO,0.161659699615923
3,ALTO DEL CARMEN,0.0747131800382076
1,ALTO HOSPICIO,0.0575403599590584
10,ANCUD,0.0682714672214968
4,ANDACOLLO,0.045749531154194695
9,ANGOL,0.053364035592714104
12,ANTARTICA,0.0
2,ANTOFAGASTA,0.0604751544612092
8,ANTUCO,0.0682391473945036
8,ARAUCO,0.0678721950968666
15,ARICA,0.0771188507135174
11,AYSEN,0.06395080695931249
13,BUIN,0.0709327781288823
16,BULNES,0.052949679741332106
5,CABILDO,0.0604849033984273
12,CABO DE HORNOS(EX-NAVARINO),0.0280992163491545
8,CABRERO,0.0471515417760581
2,CALAMA,0.0779586416110348
10,CALBUCO,0.0953439530873457
3,CALDERA,0.0540651030436812
5,CALERA,0.059889860225072
13,CALERA DE TANGO,0.0497986436277216
5,CALLE LARGA,0.0537277748970885
15,CAMARONES,0.0862637839292576
1,CAMIÑA,0.044857462013898605
4,CANELA,0.0708090686319543
9,CARAHUE,0.06816915931553971
5,CARTAGENA,0.0606797285419801
5,CASABLANCA,0.047553544933478895
10,CASTRO,0.0744938727677191
5,CATEMU,0.06292367731361359
7,CAUQUENES,0.0550252498484845
8,CAÑETE,0.1043022091665098
13,CERRILLOS,0.0754526382253332
13,CERRO NAVIA,0.057394920138355704
10,CHAITEN,0.0552165733583979
7,CHANCO,0.18333889194015662
3,CHAÑARAL,0.046225688653615704
6,CHEPICA,0.0436915053175747
8,CHIGUAYANTE,0.0724550010485796
11,CHILE CHICO,0.1317663207370586
16,CHILLAN,0.06587360083237631
16,CHILLAN VIEJO,0.0903113329039255
6,CHIMBARONGO,0.0528207527318521
9,CHOLCHOL,0.0685291359281532
10,CHONCHI,0.057223547805839
11,CISNES,0.125254659774175
16,COBQUECURA,0.06271858254980961
10,COCHAMO,0.0860973666805252
11,COCHRANE,0.0900482107164437
6,CODEGUA,0.040265365890985796
16,COELEMU,0.069310096823633
16,COIHUECO,0.0525764741758512
6,COINCO,0.0398211600559724
7,COLBUN,0.054204063146481296
1,COLCHANE,0.048198301268577
13,COLINA,0.130566226715949
9,COLLIPULLI,0.0400198429408403
6,COLTAUCO,0.0546052773988649
4,COMBARBALA,0.0555567005381345
8,CONCEPCION,0.0664266865865505
13,CONCHALI,0.0605677974110764
5,CONCON,0.1335658026226227
7,CONSTITUCION,0.0624534798601471
8,CONTULMO,0.040601007576068396
3,COPIAPO,0.0589007982010146
4,COQUIMBO,0.0653405714878112
8,CORONEL,0.08181747390592439
14,CORRAL,0.0487227636315258
11,COYHAIQUE,0.056173404604951696
9,CUNCO,0.048454689438087103
9,CURACAUTIN,0.0454170784536927
13,CURACAVI,0.0611237058612801
10,CURACO DE VELEZ,0.0444457545562716
8,CURANILAHUE,0.08876368436413071
9,CURARREHUE,0.0549340691179593
7,CUREPTO,0.0953658155566133
7,CURICO,0.0866395335807105
10,DALCAHUE,0.0581938558246588
3,DIEGO DE ALMAGRO,0.0597938237577566
6,DOÑIHUE,0.053258762286083
13,EL BOSQUE,0.0681408913562836
16,EL CARMEN,0.0430870387910453
13,EL MONTE,0.052513396724496
5,EL QUISCO,0.039809296162808
5,EL TABO,0.0437961360586991
7,EMPEDRADO,0.3686520250490297
9,ERCILLA,0.1201546394057558
13,ESTACION CENTRAL,0.07171165353267561
8,FLORIDA,0.043466884057643
9,FREIRE,0.0820763562101966
3,FREIRINA,0.0634297846063338
10,FRESIA,0.0597714471768762
10,FRUTILLAR,0.05324442464986
10,FUTALEUFU,0.0595783553487895
14,FUTRONO,0.0532674296107015
9,GALVARINO,0.059654753270748
15,GENERAL LAGOS,0.035999280868801595
9,GORBEA,0.0590850397022493
6,GRANEROS,0.059310453570046
11,GUAITECAS,0.0386949157660027
5,HIJUELAS,0.0446363289624341
10,HUALAIHUE,0.09599997753374209
7,HUALAÑE,0.0546617700491038
8,HUALPEN,0.0505123531314517
8,HUALQUI,0.09573464241582841
1,HUARA,0.098834155509188
3,HUASCO,0.06850306972305781
13,HUECHURABA,0.11750645139809
4,ILLAPEL,0.0638298117309743
13,INDEPENDENCIA,0.1009060391857797
1,IQUIQUE,0.063023116565089
13,ISLA DE MAIPO,0.0656151451029163
5,ISLA DE PASCUA,0.049363458429506596
5,JUAN FERNANDEZ,0.0256961917256758
13,LA CISTERNA,0.054187420013604604
5,LA CRUZ,0.0531052664696783
6,LA ESTRELLA,0.0472366424269186
13,LA FLORIDA,0.0619813773939849
13,LA GRANJA,0.06457418310318619
4,LA HIGUERA,0.0852427531465945
5,LA LIGUA,0.0671048116829508
13,LA PINTANA,0.06804739678808
13,LA REINA,0.0922616065173619
4,LA SERENA,0.0634545567036181
14,LA UNION,0.0514860155400733
14,LAGO RANCO,0.0884564349068111
11,LAGO VERDE,0.0886018867586955
12,LAGUNA BLANCA,0.0824917069513496
8,LAJA,0.0838666948540572
13,LAMPA,0.090120072953305
14,LANCO,0.0596642358012269
6,LAS CABRAS,0.0540236066769231
13,LAS CONDES,0.1331714915274841
9,LAUTARO,0.0512058454052669
8,LEBU,0.0845597388188629
7,LICANTEN,0.053122573236677295
5,LIMACHE,0.0576657372755022
7,LINARES,0.0626251810388713
6,LITUECHE,0.0657336788503274
5,LLAILLAY,0.0537162594410676
10,LLANQUIHUE,0.046238276532182196
13,LO BARNECHEA,0.20524992422052468
13,LO ESPEJO,0.0624000151910772
13,LO PRADO,0.0659811481998096
6,LOLOL,0.0377797842255919
9,LONCOCHE,0.0547935331183053
7,LONGAVI,0.053141433836174
9,LONQUIMAY,0.0737338828525092
8,LOS ALAMOS,0.06505990462900191
5,LOS ANDES,0.071004962700029
8,LOS ANGELES,0.06923220483818099
14,LOS LAGOS,0.10051131121306991
10,LOS MUERMOS,0.0444600736986883
9,LOS SAUCES,0.0360937841968927
4,LOS VILOS,0.07975056027205679
8,LOTA,0.0708743787536156
9,LUMACO,0.1641786739699212
6,MACHALI,0.0534545886857572
13,MACUL,0.0582203055490216
14,MAFIL,0.052606179688669805
13,MAIPU,0.06487834909728099
6,MALLOA,0.0595382839060294
6,MARCHIGUE,0.0588051601204793
2,MARIA ELENA,0.0641012178602889
13,MARIA PINTO,0.0931790386718709
14,MARIQUINA,0.0600406791101252
7,MAULE,0.09953525797006471
10,MAULLIN,0.137481759171001
2,MEJILLONES,0.052313039345152704
9,MELIPEUCO,0.0588037686340213
13,MELIPILLA,0.0662334591278686
7,MOLINA,0.075049639708379
4,MONTE PATRIA,0.0698182312152975
6,MOSTAZAL,0.0615596087687135
8,MULCHEN,0.11794123631053219
8,NACIMIENTO,0.0531968431179007
6,NANCAGUA,0.058651428110159595
12,NATALES,0.0743547820547619
6,NAVIDAD,0.0475855985364719
8,NEGRETE,0.0432884298222656
16,NINHUE,0.046464005673068
5,NOGALES,0.0792920390579659
9,NUEVA IMPERIAL,0.0629473652924319
11,O'HIGGINS,0.0007529483555153999
6,OLIVAR,0.0468418731138467
2,OLLAGUE,0.0439746356301613
5,OLMUE,0.0613437602083767
10,OSORNO,0.0618020658657704
4,OVALLE,0.0691008472340229
13,PADRE HURTADO,0.056611116436064604
9,PADRE LAS CASAS,0.0651367427853271
4,PAIHUANO,0.096489929031367
14,PAILLACO,0.0670221531938097
13,PAINE,0.0685950750881707
10,PALENA,0.0463935778716248
6,PALMILLA,0.033533136714806594
14,PANGUIPULLI,0.0674282129253159
5,PANQUEHUE,0.0616412689217721
5,PAPUDO,0.06801315150933959
6,PAREDONES,0.1133357969146092
7,PARRAL,0.0561444555297166
13,PEDRO AGUIRRE CERDA,0.0650933206259216
7,PELARCO,0.0473506659916372
7,PELLUHUE,0.0638322701376068
16,PEMUCO,0.17507679679234017
7,PENCAHUE,0.1367285207724815
8,PENCO,0.06905859878925069
6,PERALILLO,0.0641011039840064
9,PERQUENCO,0.0633941530628141
5,PETORCA,0.0635676175356659
6,PEUMO,0.058860276322483696
13,PEÑAFLOR,0.0637993064069391
13,PEÑALOLEN,0.0561184404790665
1,PICA,0.12248344149615009
6,PICHIDEGUA,0.0473950002044454
6,PICHILEMU,0.0747312174741169
16,PINTO,0.0454301169748749
13,PIRQUE,0.0710486731392347
9,PITRUFQUEN,0.0797906995608269
6,PLACILLA,0.0615462295518805
16,PORTEZUELO,0.0606982706985283
12,PORVENIR,0.0448843018523717
1,POZO ALMONTE,0.0856847229077589
12,PRIMAVERA,0.117955715653206
13,PROVIDENCIA,0.09447660534451191
5,PUCHUNCAVI,0.1036047437827365
9,PUCON,0.055110824423454705
13,PUDAHUEL,0.0836080492218205
13,PUENTE ALTO,0.0720191542492063
10,PUERTO MONTT,0.073786876423244
10,PUERTO OCTAY,0.054252716426343994
10,PUERTO VARAS,0.0601373845923147
6,PUMANQUE,0.0715226480000878
