Comuna,"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES,ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES INMOBILIARIAS,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,CONSTRUCCION,ENSEÑANZA,EXPLOTACION DE MINAS Y CANTERAS,INDUSTRIA MANUFACTURERA,INFORMACION Y COMUNICACIONES,OTRAS ACTIVIDADES DE SERVICIOS,"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",TRANSPORTE Y ALMACENAMIENTO,Valor por Defecto,aporte,region_id,HHI_2021,HHI_2022
BULNES,7.990500007770656e-07,2.438099049990067e-05,6.025388630198236e-06,0.0,0.0,2.0744497639221372e-05,0.00043563042396861835,0.005565882334513277,1.6671537053249883e-06,0.0,0.09914840790171153,0.0412606662877445,0.0001324142014515224,5.655156090155649e-07,0.0002899047621866904,0.08153886003299918,3.1456679924771097e-06,2.0132275151853502e-10,0.00017826747133738394,5.053221195390381e-05,0.0012462168223759504,0.0,7047800,16.0,0.2299041109156422,0.2299041109156422
CABILDO,4.705009094396768e-10,0.00033833908598170944,2.665105351430106e-05,0.0,0.0,0.00047144238175946565,0.0024223085326237643,2.3717950844854107e-06,1.0167054152081978e-05,0.0,0.0321011478488865,0.06744758936515954,0.0017489384525546162,1.1762522735991923e-08,0.1311394367442778,0.00021628174005486843,2.488949810935891e-07,1.1762522735991923e-08,0.00034394792732313976,1.2044823281655727e-07,0.0005631124264501451,0.0,4610200,5.0,0.23683212774658272,0.23683212774658272
CABO DE HORNOS,1.5230295238207072e-08,0.0018550651903088593,3.807573809551768e-07,0.0,0.0,0.4099286355579053,0.0,3.4268164285965914e-06,0.008635714472720555,0.0,1.5230295238207072e-08,0.029596057997512557,0.0002942645342973989,1.5230295238207072e-08,0.0,0.0007710336964342329,3.807573809551768e-07,3.4268164285965914e-06,2.4368472381131315e-07,0.0,1.3707265714386366e-05,0.0,810300,12.0,0.45110238323812196,0.45110238323812196
CABRERO,1.0657513413302332e-06,9.853470241588693e-05,0.00026398572437656513,0.0,0.0,0.0017714174661518493,1.3343963539969074e-07,3.528355848991898e-05,8.721352230932075e-05,0.0,0.0030443094994272177,0.059621504114472805,0.010049932735715795,9.08095817464814e-09,3.3359908849922685e-06,0.10232723368038171,3.632383269859256e-08,3.8367048287888387e-07,2.5224883818467052e-06,0.0,0.03657854449443327,0.0,6296300,8.0,0.21388544624369163,0.21388544624369163
CALAMA,0.00020275479117455106,0.005415876921059507,0.0009353478265678713,0.0,0.0,0.008206854807999885,5.8177099944174465e-06,0.00010752171222077415,0.0033964619120702214,1.7596098281791898e-07,5.417656524074907e-06,0.037874735151760965,0.01936877251292207,0.0001447649114655528,0.0013596221469370081,0.02019034391958706,4.485277901704349e-06,1.9716422890929176e-05,0.0013247638941720175,6.673772998682299e-06,0.021568741468449587,0.0,39096300,2.0,0.12013884877767969,0.12013884877767969
CALBUCO,2.2514325018396153e-08,4.726445275928032e-05,1.3066681606750992e-05,0.0,0.0,0.00048170998568554103,0.0,1.5408357477465997e-06,1.0896933308903742e-05,0.0,0.007664308660157446,0.22724448962360344,0.02332796834954796,6.028629178479631e-08,2.547281896709449e-07,0.04129804573239946,8.85873565393257e-07,6.717083745157861e-08,2.547281896709449e-07,4.763361326206129e-08,0.0016401892312271603,0.0,7331000,10.0,0.30173107342105593,0.30173107342105593
CALDERA,3.036312512391327e-08,0.003945999331885051,1.6237155583842688e-05,0.0,0.0,0.0546217913840468,4.269814470550305e-07,0.00020980207824878983,0.0007980800367433286,0.0,0.003528066570540777,0.07440176811954517,0.0035565865590849017,1.8976953202445795e-09,4.2413964831296416e-05,0.0007846002324598013,3.928703736736342e-06,9.29870706919844e-08,0.04794660492251795,1.0674536176375762e-07,6.285925978778147e-05,0.0,4591100,3.0,0.18991939729371216,0.18991939729371216
CALERA DE TANGO,5.835471794254118e-07,0.00021744142219497654,3.2579112665244634e-05,0.0,0.0,0.000581712774076631,0.0008642056724715593,0.0051094881227878065,0.00023002183301363332,0.0,0.01069719850025481,0.07252556379757913,0.002175380489441918,0.0005103495437298199,1.65759519468145e-08,0.08697656887799061,5.370608430767897e-06,9.07699128607562e-07,6.808369667185816e-06,0.0,0.009163879405674022,0.0,11650700,13.0,0.18909807635223808,0.18909807635223808
CALLE LARGA,4.555753421738092e-08,0.0015053649148479404,2.0304036854906805e-07,0.0,0.0,9.08923427119213e-05,4.969708300552812e-06,0.0006793140171023074,0.012161330661917517,0.0,0.023464200458783946,0.05680771419495082,0.0028752546590233526,0.00012213693704332806,1.7422100986636934e-05,0.0011857917484029764,6.124957378114547e-07,2.249754776166959e-07,8.554692536374864e-05,8.999019104667836e-09,0.09426411543785125,0.0,4216600,5.0,0.1932651491754236,0.1932651491754236
CAMARONES,0.0,3.8363960833810385e-08,0.0,0.0,0.0,2.3977475521131484e-07,2.1579727969018338e-06,0.0,0.0,0.0,1.4587896107056396e-05,5.539755944402219e-05,0.0,0.0,0.96620948366511,1.3130065595371602e-05,0.0,0.0,0.0,0.0,0.0,0.0,1021100,15.0,0.9662950352977693,0.9662950352977693
CAMINA,0.0,0.0,0.0,0.0,0.0,5.250997689561017e-05,0.0,0.0,0.0,0.0,0.00021003990758244068,5.250997689561017e-05,0.5789224952741021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04725897920604915,0.0,13800,1.0,0.626496534341525,0.626496534341525
CANELA,1.4941945312778993e-07,0.08687340392007911,6.279352517695373e-05,0.0,0.0,0.00030933562283780715,0.00021012110596095463,0.0,0.00606676599075781,0.0,2.390711250044639e-06,0.05688234219176523,0.030526991951819994,0.0,0.05688234219176523,0.0003886399975853817,1.3485105644783043e-05,0.0011968871744168796,0.0,0.0,0.0130473440019819,0.0,517400,4.0,0.2524629929104952,0.2524629929104952
CANETE,3.857243703718635e-06,0.0001680215357339837,0.0002804141378404206,0.0,0.0,0.0006205888408744655,9.616397045281914e-08,7.446937871866315e-06,2.2217723733419332e-05,0.0,0.051818327739916105,0.11582306754491337,0.014902861732527166,2.2609217942018364e-07,3.4619029363014894e-06,0.006584293632476497,8.021784717462056e-06,1.8617344679665788e-06,6.678053503667995e-06,6.0102481533011966e-05,0.021788447769317952,0.0,4837100,8.0,0.21209999305221724,0.21209999305221724
