region_id,Comuna,Edad_Tramo1_2022,Edad_Tramo2_2022
5,Algarrobo,0.23783718689788053,0.7621628131021194
13,Alhué,0.28208413410207134,0.7179158658979287
8,Alto Biobío,0.30761316872427985,0.6923868312757202
1,Alto Hospicio,0.34305939846922273,0.6569406015307773
3,Alto del Carmen,0.22604501607717042,0.7739549839228296
10,Ancud,0.2349499677211104,0.7650500322788896
4,Andacollo,0.27185340943226194,0.728146590567738
9,Angol,0.2617549978202653,0.7382450021797347
2,Antofagasta,0.32567761306595233,0.6743223869340477
8,Antuco,0.2590717299578059,0.7409282700421941
12,Antártica,0.058823529411764705,0.9411764705882353
8,Arauco,0.2596166498530637,0.7403833501469362
15,Arica,0.3116783341832849,0.6883216658167152
11,Aysén,0.2476457623722701,0.7523542376277299
13,Buin,0.2823991381021236,0.7176008618978764
16,Bulnes,0.25778858981401553,0.7422114101859845
5,Cabildo,0.26100682593856656,0.7389931740614335
12,Cabo de Hornos,0.27230046948356806,0.7276995305164319
8,Cabrero,0.2633697210276767,0.7366302789723232
2,Calama,0.29431820022351435,0.7056817997764856
10,Calbuco,0.26498889711324947,0.7350111028867505
3,Caldera,0.2705161854768154,0.7294838145231846
5,Calera,0.29286665151465957,0.7071333484853405
13,Calera de Tango,0.2912739099277879,0.7087260900722121
5,Calle Larga,0.2741188318227593,0.7258811681772407
15,Camarones,0.20287769784172663,0.7971223021582734
1,Camiña,0.2847411444141689,0.715258855585831
4,Canela,0.22583885875025114,0.7741611412497489
9,Carahue,0.2563380281690141,0.7436619718309859
5,Cartagena,0.2642561097613263,0.7357438902386737
5,Casablanca,0.27268584448874966,0.7273141555112503
10,Castro,0.24260151410874053,0.7573984858912595
5,Catemu,0.26785312007208834,0.7321468799279117
7,Cauquenes,0.24114727899739255,0.7588527210026075
8,Cañete,0.25807377637433615,0.7419262236256638
13,Cerrillos,0.30111374840241006,0.6988862515975899
13,Cerro Navia,0.3063792189432762,0.6936207810567238
10,Chaitén,0.20769481578089338,0.7923051842191067
7,Chanco,0.22769588828549264,0.7723041117145074
3,Chañaral,0.2733269204342449,0.7266730795657551
8,Chiguayante,0.29563686522196814,0.7043631347780319
11,Chile Chico,0.19474908607510802,0.805250913924892
16,Chillán,0.2823815742609522,0.7176184257390479
16,Chillán Viejo,0.27680749341399163,0.7231925065860084
6,Chimbarongo,0.2489358842242036,0.7510641157757965
9,Cholchol,0.26938042502244836,0.7306195749775516
10,Chonchi,0.2374571517606731,0.7625428482393269
6,Chépica,0.2415032679738562,0.7584967320261438
11,Cisnes,0.2254030016675931,0.7745969983324069
16,Cobquecura,0.19109855174849877,0.8089014482515012
10,Cochamó,0.20289219982471515,0.7971078001752848
11,Cochrane,0.24774774774774774,0.7522522522522522
6,Codegua,0.2528096533774991,0.7471903466225008
16,Coelemu,0.2527694929697486,0.7472305070302514
16,Coihueco,0.27606478704259146,0.7239352129574085
6,Coinco,0.25,0.75
7,Colbún,0.26979969183359015,0.7302003081664099
1,Colchane,0.28295454545454546,0.7170454545454545
13,Colina,0.2648872756049098,0.7351127243950902
9,Collipulli,0.26635103145079475,0.7336489685492052
6,Coltauco,0.2690285529402249,0.7309714470597751
4,Combarbalá,0.2063728813559322,0.7936271186440678
8,Concepción,0.35797871987362023,0.6420212801263798
13,Conchalí,0.29776910944968155,0.7022308905503184
5,Concón,0.28792294569235144,0.7120770543076486
7,Constitución,0.26314192264895303,0.736858077351047
8,Contulmo,0.23541076487252124,0.7645892351274788
3,Copiapó,0.2981143657324816,0.7018856342675184
4,Coquimbo,0.29864681315612424,0.7013531868438757
8,Coronel,0.28475992199441313,0.7152400780055869
14,Corral,0.25555555555555554,0.7444444444444445
11,Coyhaique,0.2371879467722424,0.7628120532277576
9,Cunco,0.24895659432387313,0.7510434056761269
9,Curacautín,0.24569097399286077,0.7543090260071392
13,Curacaví,0.27811925164879536,0.7218807483512046
10,Curaco de Vélez,0.22886690647482014,0.7711330935251799
8,Curanilahue,0.2531335982879853,0.7468664017120147
9,Curarrehue,0.277713492247165,0.722286507752835
7,Curepto,0.21424174020110814,0.7857582597988918
7,Curicó,0.2716306656514247,0.7283693343485753
10,Dalcahue,0.2556623577505248,0.7443376422494752
3,Diego de Almagro,0.228516562650024,0.771483437349976
6,Doñihue,0.25599641336023315,0.7440035866397668
13,El Bosque,0.3068308518090953,0.6931691481909047
16,El Carmen,0.23859597156398105,0.761404028436019
13,El Monte,0.29266704647188085,0.7073329535281192
5,El Quisco,0.23527515047291486,0.7647248495270851
5,El Tabo,0.22653034125614127,0.7734696587438588
7,Empedrado,0.2522783761391881,0.747721623860812
9,Ercilla,0.27218145430286855,0.7278185456971314
13,Estación Central,0.3250242751132248,0.6749757248867752
8,Florida,0.2407239819004525,0.7592760180995475
9,Freire,0.2618782220983698,0.7381217779016302
3,Freirina,0.26082927959230945,0.7391707204076905
10,Fresia,0.23824231363189668,0.7617576863681034
10,Frutillar,0.2625134441962439,0.7374865558037561
10,Futaleufú,0.24510932105868816,0.7548906789413119
14,Futrono,0.2578260367332794,0.7421739632667206
9,Galvarino,0.2592538405267008,0.7407461594732992
15,General Lagos,0.28629856850715746,0.7137014314928425
9,Gorbea,0.2619899785254116,0.7380100214745884
6,Graneros,0.2723127624035032,0.7276872375964968
11,Guaitecas,0.21756487025948104,0.782435129740519
5,Hijuelas,0.2794636556104446,0.7205363443895554
10,Hualaihué,0.22069335239456755,0.7793066476054324
7,Hualañé,0.2328767123287671,0.7671232876712328
8,Hualpén,0.29226287378973526,0.7077371262102647
8,Hualqui,0.2781282183316169,0.7218717816683831
1,Huara,0.27289489858635524,0.7271051014136447
3,Huasco,0.2527932960893855,0.7472067039106145
13,Huechuraba,0.266745795675552,0.733254204324448
4,Illapel,0.23934336525307798,0.760656634746922
13,Independencia,0.33302175049250193,0.6669782495074981
1,Iquique,0.3021853226268598,0.6978146773731402
13,Isla de Maipo,0.27858468490276767,0.7214153150972323
5,Isla de Pascua,0.2689754171900233,0.7310245828099766
5,Juan Fernández,0.23939393939393938,0.7606060606060606
13,La Cisterna,0.29388718587610446,0.7061128141238956
5,La Cruz,0.26488680322151054,0.7351131967784894
6,La Estrella,0.19398584905660377,0.8060141509433962
13,La Florida,0.28796653402714006,0.7120334659728599
13,La Granja,0.3007365314060302,0.6992634685939698
4,La Higuera,0.2439918533604888,0.7560081466395112
5,La Ligua,0.2511791912808536,0.7488208087191464
13,La Pintana,0.3135952200472645,0.6864047799527355
13,La Reina,0.2749037904846235,0.7250962095153765
4,La Serena,0.3122453591606134,0.6877546408393866
14,La Unión,0.25692638751905317,0.7430736124809468
14,Lago Ranco,0.23312124425592082,0.7668787557440792
11,Lago Verde,0.20147874306839186,0.7985212569316081
12,Laguna Blanca,0.18181818181818182,0.8181818181818182
8,Laja,0.2597431685829476,0.7402568314170525
13,Lampa,0.27902344774944543,0.7209765522505546
14,Lanco,0.25803544607990386,0.7419645539200961
6,Las Cabras,0.24135309768148994,0.7586469023185101
13,Las Condes,0.2933362979862917,0.7066637020137083
9,Lautaro,0.28813202542836697,0.7118679745716331
8,Lebu,0.2547345445207678,0.7452654554792322
7,Licantén,0.22579013906447534,0.7742098609355247
5,Limache,0.28457391664938836,0.7154260833506116
7,Linares,0.2581470738781778,0.7418529261218222
6,Litueche,0.23133757961783438,0.7686624203821656
5,Llaillay,0.27755154805765625,0.7224484519423438
10,Llanquihue,0.26692439090173514,0.7330756090982649
13,Lo Barnechea,0.29258470172521306,0.707415298274787
13,Lo Espejo,0.31150591395239713,0.6884940860476029
13,Lo Prado,0.30101908767389196,0.698980912326108
6,Lolol,0.22249448664543003,0.77750551335457
9,Loncoche,0.24715110256030784,0.7528488974396922
7,Longaví,0.24911715828832573,0.7508828417116743
9,Lonquimay,0.2604133031966419,0.7395866968033581
5,Los Andes,0.27338437515740693,0.726615624842593
8,Los Angeles,0.27252248800894924,0.7274775119910508
14,Los Lagos,0.26213093709884466,0.7378690629011553
10,Los Muermos,0.23988897700237907,0.7601110229976209
9,Los Sauces,0.24921364626179532,0.7507863537382047
4,Los Vilos,0.2601046815934865,0.7398953184065136
8,Los Álamos,0.25795683900015526,0.7420431609998448
8,Lota,0.28257913424491954,0.7174208657550805
9,Lumaco,0.23623348017621146,0.7637665198237885
6,Machalí,0.21661039837947332,0.7833896016205266
13,Macul,0.28721610275914033,0.7127838972408597
13,Maipú,0.294415706368635,0.705584293631365
6,Malloa,0.2613291216134127,0.7386708783865873
6,Marchihue,0.21338324754328497,0.786616752456715
14,Mariquina,0.2776900518836003,0.7223099481163997
2,María Elena,0.27565577542567876,0.7243442245743212
13,María Pinto,0.2773173391494002,0.7226826608505997
7,Maule,0.2764131247261386,0.7235868752738613
10,Maullín,0.23066778563721377,0.7693322143627862
2,Mejillones,0.32004712350284703,0.679952876497153
9,Melipeuco,0.2494752623688156,0.7505247376311844
13,Melipilla,0.2850552973602574,0.7149447026397426
7,Molina,0.2667186652197504,0.7332813347802496
4,Monte Patria,0.26531716821822904,0.734682831781771
6,Mostazal,0.2714647243997284,0.7285352756002715
8,Mulchén,0.27575358920093807,0.7242464107990619
14,Máfil,0.2725728155339806,0.7274271844660194
8,Nacimiento,0.26568036302604586,0.7343196369739541
6,Nancagua,0.2515991471215352,0.7484008528784648
12,Natales,0.2677572706935123,0.7322427293064877
6,Navidad,0.20834477079330221,0.7916552292066977
8,Negrete,0.27315045719035747,0.7268495428096425
16,Ninhue,0.21604503870513722,0.7839549612948628
5,Nogales,0.2865026099925429,0.7134973900074572
9,Nueva Imperial,0.28134720583503164,0.7186527941649684
11,O'Higgins,0.2709251101321586,0.7290748898678414
6,Olivar,0.26010766235253696,0.7398923376474631
2,Ollagüe,0.2459016393442623,0.7540983606557377
5,Olmué,0.27470319634703194,0.725296803652968
10,Osorno,0.271005147241729,0.728994852758271
4,Ovalle,0.2792478912178746,0.7207521087821255
13,Padre Hurtado,0.28825963117736336,0.7117403688226367
9,Padre Las Casas,0.29618863049095606,0.7038113695090439
4,Paiguano,0.2459319526627219,0.7540680473372781
14,Paillaco,0.26205307620104107,0.737946923798959
13,Paine,0.2836614400739685,0.7163385599260315
10,Palena,0.22643343051506318,0.7735665694849369
6,Palmilla,0.2279559118236473,0.7720440881763527
14,Panguipulli,0.25085009229573496,0.749149907704265
5,Panquehue,0.27113379187929887,0.7288662081207011
5,Papudo,0.24959261271048344,0.7504073872895166
6,Paredones,0.19678832116788322,0.8032116788321167
7,Parral,0.24370420787124153,0.7562957921287584
13,Pedro Aguirre Cerda,0.2967297489904189,0.7032702510095811
7,Pelarco,0.27304213969597846,0.7269578603040215
7,Pelluhue,0.23005858494817485,0.7699414150518251
16,Pemuco,0.2565434150394682,0.7434565849605318
7,Pencahue,0.2356595568440671,0.7643404431559329
8,Penco,0.2812711291413117,0.7187288708586883
6,Peralillo,0.22334878331402086,0.7766512166859791
9,Perquenco,0.26673252654976537,0.7332674734502346
5,Petorca,0.26025810721376574,0.7397418927862343
6,Peumo,0.2489913544668588,0.7510086455331412
13,Peñaflor,0.2846638655462185,0.7153361344537815
13,Peñalolén,0.29454475396906626,0.7054552460309337
1,Pica,0.2880597014925373,0.7119402985074627
6,Pichidegua,0.2316715542521994,0.7683284457478006
6,Pichilemu,0.22093457943925235,0.7790654205607477
16,Pinto,0.25757797627763945,0.7424220237223605
13,Pirque,0.277058064516129,0.722941935483871
9,Pitrufquen,0.2587517983147222,0.7412482016852778
6,Placilla,0.24360902255639097,0.7563909774436091
16,Portezuelo,0.2215909090909091,0.7784090909090909
12,Porvenir,0.3184618653069896,0.6815381346930104
1,Pozo Almonte,0.3465476749647722,0.6534523250352278
12,Primavera,0.1851063829787234,0.8148936170212766
