region_id,Comuna,riqueza_2022
5.0,ALGARROBO,9810800
13.0,ALHUE,1903900
8.0,ALTO BIO BIO,184000
3.0,ALTO DEL CARMEN,159600
1.0,ALTO HOSPICIO,24738900
10.0,ANCUD,8795000
4.0,ANDACOLLO,3630500
9.0,ANGOL,11632800
12.0,ANTARTIDA,1500
2.0,ANTOFAGASTA,167740800
8.0,ANTUCO,154700
8.0,ARAUCO,7744300
15.0,ARICA,38194400
11.0,AYSEN,4284900
13.0,BUIN,33454500
16.0,BULNES,7047800
5.0,CABILDO,4610200
12.0,CABO DE HORNOS,810300
8.0,CABRERO,6296300
2.0,CALAMA,39096300
10.0,CALBUCO,7331000
3.0,CALDERA,4591100
13.0,CALERA DE TANGO,11650700
5.0,CALLE LARGA,4216600
15.0,CAMARONES,1021100
1.0,CAMINA,13800
4.0,CANELA,517400
8.0,CANETE,4837100
9.0,CARAHUE,1105500
5.0,CARTAGENA,5044300
5.0,CASABLANCA,48587200
10.0,CASTRO,11049100
5.0,CATEMU,3415800
7.0,CAUQUENES,3850000
13.0,CERRILLOS,61433600
13.0,CERRO NAVIA,9550500
10.0,CHAITEN,389300
3.0,CHANARAL,2710800
7.0,CHANCO,487800
6.0,CHEPICA,3275300
8.0,CHIGUAYANTE,15307800
11.0,CHILE CHICO,1443100
16.0,CHILLAN,57360900
16.0,CHILLAN VIEJO,8071700
6.0,CHIMBARONGO,7788500
9.0,CHOLCHOL,213900
10.0,CHONCHI,6534900
11.0,CISNES,616900
16.0,COBQUECURA,182000
10.0,COCHAMO,280300
11.0,COCHRANE,314100
6.0,CODEGUA,4770100
16.0,COELEMU,4631300
16.0,COIHUECO,3809400
6.0,COINCO,748900
7.0,COLBUN,1515300
1.0,COLCHANE,30800
13.0,COLINA,107440000
9.0,COLLIPULLI,4670400
6.0,COLTAUCO,6524800
4.0,COMBARBALA,1055200
5.0,CON CON,22946100
8.0,CONCEPCION,169928700
13.0,CONCHALI,60870500
7.0,CONSTITUCION,19455500
8.0,CONTULMO,519200
3.0,COPIAPO,48739800
4.0,COQUIMBO,54151300
8.0,CORONEL,37882400
14.0,CORRAL,743200
11.0,COYHAIQUE,12925200
9.0,CUNCO,3894600
9.0,CURACAUTIN,2186200
13.0,CURACAVI,11843700
10.0,CURACO DE VELEZ,645800
8.0,CURANILAHUE,4142100
9.0,CURARREHUE,544900
7.0,CUREPTO,836400
7.0,CURICO,72112800
10.0,DALCAHUE,4154300
3.0,DIEGO DE ALMAGRO,2963900
6.0,DONIHUE,10189500
13.0,EL BOSQUE,17295500
16.0,EL CARMEN,1095200
13.0,EL MONTE,5805400
5.0,EL QUISCO,1557800
5.0,EL TABO,6246700
7.0,EMPEDRADO,913100
9.0,ERCILLA,209800
13.0,EST CENTRAL,77956700
8.0,FLORIDA,2158700
9.0,FREIRE,5437600
3.0,FREIRINA,1058300
10.0,FRESIA,910600
10.0,FRUTILLAR,7553700
10.0,FUTALEUFU,990500
14.0,FUTRONO,2627400
9.0,GALVARINO,943300
15.0,GENERAL LAGOS,100
