Comuna,region_id,Poblacion 2021_1,Poblacion 2022_1,Poblacion 2021_2,Poblacion 2022_2,SUM Población 2021,SUM Población 2022
Concón,5,0.2934732018187677,0.28792294569235144,0.7065267981812323,0.7120770543076486,27931,28136
Constitución,7,0.2685409109230149,0.26314192264895303,0.7314590890769851,0.736858077351047,29772,29657
Contulmo,8,0.24126268320180383,0.23541076487252124,0.7587373167981961,0.7645892351274788,3548,3530
Copiapó,3,0.3063851847585035,0.2981143657324816,0.6936148152414965,0.7018856342675184,104163,104262
Coquimbo,4,0.3056395865247223,0.29864681315612424,0.6943604134752778,0.7013531868438757,155366,157554
Coronel,8,0.2917134219593658,0.28475992199441313,0.7082865780406342,0.7152400780055869,75749,75892
Corral,14,0.26288492706645056,0.25555555555555554,0.7371150729335494,0.7444444444444445,3085,3060
Coyhaique,11,0.24553485428076066,0.2371879467722424,0.7544651457192394,0.7628120532277576,36337,36372
Cunco,9,0.2549243209620568,0.24895659432387313,0.7450756790379431,0.7510434056761269,9646,9584
Curacautín,9,0.2515972010952236,0.24569097399286077,0.7484027989047763,0.7543090260071392,9861,9805
Curacaví,13,0.28745195568618587,0.27811925164879536,0.7125480443138141,0.7218807483512046,22115,22289
Curaco de Vélez,10,0.23516187050359713,0.22886690647482014,0.7648381294964028,0.7711330935251799,2224,2224
Curanilahue,8,0.25964609846372255,0.2531335982879853,0.7403539015362774,0.7468664017120147,19723,19626
Curarrehue,9,0.28452847590500346,0.277713492247165,0.7154715240949966,0.722286507752835,4337,4321
Curepto,7,0.21955645161290321,0.21424174020110814,0.7804435483870967,0.7857582597988918,4960,4873
Curicó,7,0.27715944834260825,0.2716306656514247,0.7228405516573917,0.7283693343485753,99192,99812
Dalcahue,10,0.2617122604939639,0.2556623577505248,0.7382877395060361,0.7443376422494752,9029,9051
Diego de Almagro,3,0.23576174655908874,0.228516562650024,0.7642382534409112,0.771483437349976,8428,8332
Doñihue,6,0.26277865345642876,0.25599641336023315,0.7372213465435713,0.7440035866397668,13323,13383
El Bosque,13,0.31667644183773214,0.3068308518090953,0.6833235581622679,0.6931691481909047,102300,101349
El Carmen,16,0.2441025641025641,0.23859597156398105,0.7558974358974359,0.761404028436019,6825,6752
El Monte,13,0.30229120473022913,0.29266704647188085,0.6977087952697709,0.7073329535281192,24354,24574
El Quisco,5,0.24074474994587572,0.23527515047291486,0.7592552500541243,0.7647248495270851,9238,9304
El Tabo,5,0.2317659631311782,0.22653034125614127,0.7682340368688217,0.7734696587438588,7486,7531
Empedrado,7,0.25687320475995074,0.2522783761391881,0.7431267952400492,0.747721623860812,2437,2414
Ercilla,9,0.27906463710566953,0.27218145430286855,0.7209353628943305,0.7278185456971314,4533,4497
Estación Central,13,0.33523357199567977,0.3250242751132248,0.6647664280043203,0.6749757248867752,139807,141091
Florida,8,0.2468562874251497,0.2407239819004525,0.7531437125748504,0.7592760180995475,6680,6630
Freire,9,0.26833495078330794,0.2618782220983698,0.7316650492166921,0.7381217779016302,14426,14354
Freirina,3,0.26706780837769034,0.26082927959230945,0.7329321916223096,0.7391707204076905,4321,4317
Fresia,10,0.24456521739130435,0.23824231363189668,0.7554347826086957,0.7617576863681034,7176,7123
Frutillar,10,0.26905196745807736,0.2625134441962439,0.7309480325419226,0.7374865558037561,12046,12087
Futaleufú,10,0.25130283729009845,0.24510932105868816,0.7486971627099016,0.7548906789413119,1727,1738
Futrono,14,0.26451020876347786,0.2578260367332794,0.7354897912365221,0.7421739632667206,8718,8657
Galvarino,9,0.2651845393780878,0.2592538405267008,0.7348154606219123,0.7407461594732992,6882,6835
General Lagos,15,0.291497975708502,0.28629856850715746,0.708502024291498,0.7137014314928425,494,489
Gorbea,9,0.2681974198129956,0.2619899785254116,0.7318025801870044,0.7380100214745884,8449,8382
Graneros,6,0.2792620865139949,0.2723127624035032,0.7207379134860051,0.7276872375964968,22008,22151
Guaitecas,11,0.224,0.21756487025948104,0.776,0.782435129740519,1000,1002
Hijuelas,5,0.28492014471013855,0.2794636556104446,0.7150798552898615,0.7205363443895554,11333,11336
Hualaihué,10,0.22634773295251695,0.22069335239456755,0.773652267047483,0.7793066476054324,5602,5596
Hualañé,7,0.23754241828898018,0.2328767123287671,0.7624575817110198,0.7671232876712328,5599,5548
Hualpén,8,0.29925425348555434,0.29226287378973526,0.7007457465144457,0.7077371262102647,58599,58355
Hualqui,8,0.2847298254653185,0.2781282183316169,0.7152701745346816,0.7218717816683831,15527,15536
Huara,1,0.2816728167281673,0.27289489858635524,0.7183271832718328,0.7271051014136447,1626,1627
Huasco,3,0.2603292948120534,0.2527932960893855,0.7396707051879465,0.7472067039106145,6438,6444
Huechuraba,13,0.2759108085499178,0.266745795675552,0.7240891914500822,0.733254204324448,69334,69928
Illapel,4,0.24521407144805019,0.23934336525307798,0.7547859285519498,0.760656634746922,18335,18275
Independencia,13,0.3434845344063732,0.33302175049250193,0.6565154655936268,0.6669782495074981,98412,99492
Iquique,1,0.3103084740759483,0.3021853226268598,0.6896915259240517,0.6978146773731402,142281,143091
Isla de Maipo,13,0.28787755434340145,0.27858468490276767,0.7121224456565985,0.7214153150972323,24566,24786
Isla de Pascua,5,0.2744203030856308,0.2689754171900233,0.7255796969143692,0.7310245828099766,5477,5573
Juan Fernández,5,0.24499229583975346,0.23939393939393938,0.7550077041602465,0.7606060606060606,649,660
La Cisterna,13,0.30346301977935897,0.29388718587610446,0.696536980220641,0.7061128141238956,61276,61003
La Cruz,5,0.27015998445495176,0.26488680322151054,0.7298400155450483,0.7351131967784894,15439,15769
La Estrella,6,0.19825072886297376,0.19398584905660377,0.8017492711370262,0.8060141509433962,1715,1696
La Florida,13,0.29749255577070144,0.28796653402714006,0.7025074442292986,0.7120334659728599,245828,245025
La Granja,13,0.3103692408234397,0.3007365314060302,0.6896307591765602,0.6992634685939698,73448,72502
La Higuera,4,0.2505091649694501,0.2439918533604888,0.7494908350305499,0.7560081466395112,2455,2455
La Ligua,5,0.2563680431700736,0.2511791912808536,0.7436319568299263,0.7488208087191464,21867,21837
La Pintana,13,0.3235946286342753,0.3135952200472645,0.6764053713657248,0.6864047799527355,112746,112135
La Reina,13,0.2840688713131756,0.2749037904846235,0.7159311286868244,0.7250962095153765,59299,58726
La Serena,4,0.3194477147267352,0.3122453591606134,0.6805522852732648,0.6877546408393866,152892,154875
La Unión,14,0.26358247537549584,0.25692638751905317,0.7364175246245042,0.7430736124809468,22437,22306
Lago Ranco,14,0.239073196419168,0.23312124425592082,0.760926803580832,0.7668787557440792,5697,5658
Lago Verde,11,0.2077922077922078,0.20147874306839186,0.7922077922077922,0.7985212569316081,539,541
Laguna Blanca,12,0.18354430379746836,0.18181818181818182,0.8164556962025317,0.8181818181818182,158,154
Laja,8,0.26598826413132287,0.2597431685829476,0.7340117358686771,0.7402568314170525,13463,13394
Lampa,13,0.2884865435097274,0.27902344774944543,0.7115134564902725,0.7209765522505546,81522,83846
Lanco,14,0.26473236618309154,0.25803544607990386,0.7352676338169084,0.7419645539200961,9995,9987
Las Cabras,6,0.24771341463414634,0.24135309768148994,0.7522865853658537,0.7586469023185101,15744,15786
Las Condes,13,0.3029868253952866,0.2933362979862917,0.6970131746047133,0.7066637020137083,206306,206882
Lautaro,9,0.2949145389322642,0.28813202542836697,0.7050854610677358,0.7118679745716331,23695,23753
Lebu,8,0.2612641400907522,0.2547345445207678,0.7387358599092477,0.7452654554792322,15647,15577
Licantén,7,0.23042168674698796,0.22579013906447534,0.7695783132530121,0.7742098609355247,3984,3955
Limache,5,0.29027450436711494,0.28457391664938836,0.7097254956328851,0.7154260833506116,28852,28938
Linares,7,0.26357303831182133,0.2581470738781778,0.7364269616881787,0.7418529261218222,58572,58610
Litueche,6,0.23690899847483476,0.23133757961783438,0.7630910015251652,0.7686624203821656,3934,3925
Llaillay,5,0.28277335404932996,0.27755154805765625,0.71722664595067,0.7224484519423438,15447,15471
Llanquihue,10,0.2737646001796945,0.26692439090173514,0.7262353998203055,0.7330756090982649,11130,11123
Lo Barnechea,13,0.3021429975752015,0.29258470172521306,0.6978570024247985,0.707415298274787,76295,76976
Lo Espejo,13,0.32139894058331736,0.31150591395239713,0.6786010594166826,0.6884940860476029,62676,61803
Lo Prado,13,0.31079398525045493,0.30101908767389196,0.689206014749545,0.698980912326108,62646,61820
Lolol,6,0.22917175665770828,0.22249448664543003,0.7708282433422917,0.77750551335457,4093,4081
Loncoche,9,0.25320276836990135,0.24715110256030784,0.7467972316300987,0.7528488974396922,13582,13514
Longaví,7,0.2545671579821466,0.24911715828832573,0.7454328420178534,0.7508828417116743,19268,19256
Lonquimay,9,0.2666881132378961,0.2604133031966419,0.7333118867621039,0.7395866968033581,6217,6194
Los Andes,5,0.2788628308574014,0.27338437515740693,0.7211371691425986,0.726615624842593,39783,39706
Los Angeles,8,0.27923497686978804,0.27252248800894924,0.720765023130212,0.7274775119910508,130349,130514
Los Lagos,14,0.26891328397583186,0.26213093709884466,0.7310867160241682,0.7378690629011553,11751,11685
Los Muermos,10,0.24602782986282443,0.23988897700237907,0.7539721701371755,0.7601110229976209,10133,10088
Los Sauces,9,0.25588659298414224,0.24921364626179532,0.7441134070158577,0.7507863537382047,4162,4133
Los Vilos,4,0.26655932079338357,0.2601046815934865,0.7334406792066164,0.7398953184065136,13663,13756
Los Álamos,8,0.26444547996272133,0.25795683900015526,0.7355545200372786,0.7420431609998448,12876,12882
Lota,8,0.28940665268204974,0.28257913424491954,0.7105933473179502,0.7174208657550805,26696,26474
Lumaco,9,0.24113475177304963,0.23623348017621146,0.7588652482269503,0.7637665198237885,5499,5448
Machalí,6,0.22263134754891184,0.21661039837947332,0.7773686524510881,0.7833896016205266,36392,37025
Macul,13,0.2966850366403271,0.28721610275914033,0.7033149633596729,0.7127838972408597,83651,83613
Maipú,13,0.30393936274536365,0.294415706368635,0.6960606372546364,0.705584293631365,369146,368462
Malloa,6,0.26818950930626057,0.2613291216134127,0.7318104906937394,0.7386708783865873,8274,8231
Marchihue,6,0.2184014869888476,0.21338324754328497,0.7815985130111525,0.786616752456715,4304,4274
Mariquina,14,0.28471279963817275,0.2776900518836003,0.7152872003618272,0.7223099481163997,13266,13299
María Elena,2,0.28315168029064486,0.27565577542567876,0.7168483197093551,0.7243442245743212,4404,4346
María Pinto,13,0.28634216020217557,0.2773173391494002,0.7136578397978244,0.7226826608505997,9101,9170
Maule,7,0.28211479557863894,0.2764131247261386,0.7178852044213611,0.7235868752738613,37545,38797
Maullín,10,0.23648247177658943,0.23066778563721377,0.7635175282234106,0.7693322143627862,8415,8341
Mejillones,2,0.32914297116631747,0.32004712350284703,0.6708570288336825,0.679952876497153,10023,10186
Melipeuco,9,0.25455088033422857,0.2494752623688156,0.7454491196657714,0.7505247376311844,3351,3335
Melipilla,13,0.2945372586379162,0.2850552973602574,0.7054627413620838,0.7149447026397426,86074,86713
Molina,7,0.27216958625860543,0.2667186652197504,0.7278304137413946,0.7332813347802496,29342,29488
Monte Patria,4,0.2717320966350302,0.26531716821822904,0.7282679033649698,0.734682831781771,18544,18476
Mostazal,6,0.27855947436930517,0.2714647243997284,0.7214405256306948,0.7285352756002715,16133,16201
Mulchén,8,0.28252090324782436,0.27575358920093807,0.7174790967521757,0.7242464107990619,17581,17483
Máfil,14,0.27951807228915665,0.2725728155339806,0.7204819277108434,0.7274271844660194,4150,4120
Nacimiento,8,0.27220984904726553,0.26568036302604586,0.7277901509527345,0.7343196369739541,16164,16087
Nancagua,6,0.2581161611669483,0.2515991471215352,0.7418838388330516,0.7484008528784648,11243,11256
Natales,12,0.2729380356891949,0.2677572706935123,0.7270619643108052,0.7322427293064877,14234,14304
Navidad,6,0.2136986301369863,0.20834477079330221,0.7863013698630137,0.7916552292066977,3650,3643
Negrete,8,0.2799138216771627,0.27315045719035747,0.7200861783228373,0.7268495428096425,6034,6015
Ninhue,16,0.22179798681013538,0.21604503870513722,0.7782020131898646,0.7839549612948628,2881,2842
Nogales,5,0.29232254232254234,0.2865026099925429,0.7076774576774577,0.7134973900074572,13468,13410
Nueva Imperial,9,0.28802139037433155,0.28134720583503164,0.7119786096256685,0.7186527941649684,18700,18646
O'Higgins,11,0.2777777777777778,0.2709251101321586,0.7222222222222222,0.7290748898678414,450,454
Olivar,6,0.266995299782185,0.26010766235253696,0.7330047002178149,0.7398923376474631,8723,8731
Ollagüe,2,0.25668449197860965,0.2459016393442623,0.7433155080213903,0.7540983606557377,187,183
Olmué,5,0.2801617201139392,0.27470319634703194,0.7198382798860609,0.725296803652968,10883,10950
Osorno,10,0.2777261981105889,0.271005147241729,0.722273801889411,0.728994852758271,104477,104522
Ovalle,4,0.2859182202371698,0.2792478912178746,0.7140817797628302,0.7207521087821255,70751,70894
Padre Hurtado,13,0.29776759188523894,0.28825963117736336,0.7022324081147611,0.7117403688226367,47124,48099
Padre Las Casas,9,0.30290473288645137,0.29618863049095606,0.6970952671135486,0.7038113695090439,49230,49536
Paiguano,4,0.2512877115526122,0.2459319526627219,0.7487122884473878,0.7540680473372781,2718,2704
Paillaco,14,0.26859083191850597,0.26205307620104107,0.731409168081494,0.737946923798959,11780,11719
Paine,13,0.2931027760449158,0.2836614400739685,0.7068972239550843,0.7163385599260315,51296,51914
Palena,10,0.23246878001921228,0.22643343051506318,0.7675312199807877,0.7735665694849369,1041,1029
Palmilla,6,0.23397596394591888,0.2279559118236473,0.7660240360540811,0.7720440881763527,7988,7984
Panguipulli,14,0.2573045665634675,0.25085009229573496,0.7426954334365325,0.749149907704265,20672,20586
Panquehue,5,0.27669039145907476,0.27113379187929887,0.7233096085409253,0.7288662081207011,4496,4507
Papudo,5,0.25565549195966203,0.24959261271048344,0.7443445080403379,0.7504073872895166,3669,3682
Paredones,6,0.20149468237999424,0.19678832116788322,0.7985053176200058,0.8032116788321167,3479,3425
Parral,7,0.24896049896049896,0.24370420787124153,0.751039501039501,0.7562957921287584,25012,24977
Pedro Aguirre Cerda,13,0.3063602751907146,0.2967297489904189,0.6936397248092854,0.7032702510095811,64101,63145
Pelarco,7,0.28,0.27304213969597846,0.72,0.7269578603040215,5200,5197
Pelluhue,7,0.23408577878103837,0.23005858494817485,0.7659142212189616,0.7699414150518251,4430,4438
Pemuco,16,0.2626595306710581,0.2565434150394682,0.7373404693289419,0.7434565849605318,4858,4814
Pencahue,7,0.2402797778234931,0.2356595568440671,0.7597202221765069,0.7643404431559329,4861,4829
Penco,8,0.28814814814814815,0.2812711291413117,0.7118518518518518,0.7187288708586883,29700,29580
Peralillo,6,0.22926617455492834,0.22334878331402086,0.7707338254450716,0.7766512166859791,6909,6904
Perquenco,9,0.2725258493353028,0.26673252654976537,0.7274741506646972,0.7332674734502346,4062,4049
Petorca,5,0.2657331136738056,0.26025810721376574,0.7342668863261944,0.7397418927862343,6070,6044
Peumo,6,0.25524355300859597,0.2489913544668588,0.744756446991404,0.7510086455331412,8725,8675
Peñaflor,13,0.2940826786202021,0.2846638655462185,0.7059173213797979,0.7153361344537815,62241,62832
Peñalolén,13,0.3041454116201615,0.29454475396906626,0.6958545883798385,0.7054552460309337,166039,166097
Pica,1,0.2957280385078219,0.2880597014925373,0.7042719614921781,0.7119402985074627,3324,3350
Pichidegua,6,0.2379719345138657,0.2316715542521994,0.7620280654861343,0.7683284457478006,11972,11935
Pichilemu,6,0.2263742469879518,0.22093457943925235,0.7736257530120482,0.7790654205607477,10624,10700
Pinto,16,0.26369612856099345,0.25757797627763945,0.7363038714390066,0.7424220237223605,6845,6829
Pirque,13,0.286163851882933,0.277058064516129,0.7138361481170671,0.722941935483871,19066,19375
Pitrufquen,9,0.26478237065425675,0.2587517983147222,0.7352176293457432,0.7412482016852778,14612,14597
Placilla,6,0.25046763935652827,0.24360902255639097,0.7495323606434717,0.7563909774436091,5346,5320
Portezuelo,16,0.22757847533632286,0.2215909090909091,0.7724215246636771,0.7784090909090909,2676,2640
Porvenir,12,0.32413940560188154,0.3184618653069896,0.6758605943981184,0.6815381346930104,4677,4707
Pozo Almonte,1,0.3554877467340517,0.3465476749647722,0.6445122532659483,0.6534523250352278,10487,10645
Primavera,12,0.1903765690376569,0.1851063829787234,0.8096234309623431,0.8148936170212766,478,470
Providencia,13,0.27613878186198687,0.26680425078908543,0.7238612181380132,0.7331957492109146,106671,107086
Puchuncaví,5,0.26982751148478806,0.2645288858321871,0.7301724885152119,0.735471114167813,11537,11632
Pucón,9,0.2792121077231249,0.27277260638297873,0.7207878922768751,0.7272273936170213,17972,18048
Pudahuel,13,0.30554715793759984,0.29591711246387503,0.6944528420624001,0.7040828875361249,162083,162630
Puente Alto,13,0.30795799243477107,0.29830206616045535,0.6920420075652289,0.7016979338395446,413735,415505
Puerto Montt,10,0.29955843805525095,0.29266448784005394,0.700441561944749,0.7073355121599461,170531,171958
Puerto Octay,10,0.25971370143149286,0.25318590704647675,0.7402862985685071,0.7468140929535232,5379,5336
Puerto Varas,10,0.24144264484888964,0.23542423241994057,0.7585573551511103,0.7645757675800594,29945,30290
Pumanque,6,0.23225152129817445,0.22517911975435004,0.7677484787018256,0.77482088024565,1972,1954
Punitaqui,4,0.26009644364074747,0.25360793746241733,0.7399035563592525,0.7463920625375827,6636,6652
Punta Arenas,12,0.28385231418802637,0.27859039509224925,0.7161476858119736,0.7214096049077507,87158,87372
Puqueldón,10,0.23150856665273714,0.22447257383966246,0.7684914333472629,0.7755274261603375,2393,2370
Purranque,10,0.26863655550865345,0.2617307038422305,0.7313634444913466,0.7382692961577695,11845,11764
Purén,9,0.24693021862833184,0.24106200030170463,0.7530697813716681,0.7589379996982953,6678,6629
Putaendo,5,0.27359342092066996,0.26824616002409396,0.72640657907933,0.731753839975906,9971,9961
Putre,15,0.4375373580394501,0.43351222420989866,0.56246264196055,0.5664877757901013,1673,1677
Puyehue,10,0.24882005899705015,0.2422268285460468,0.7511799410029498,0.7577731714539532,6780,6754
Queilén,10,0.23779919179359651,0.23230433426878702,0.7622008082064035,0.767695665731213,3217,3207
Quellón,10,0.27338944642279056,0.2667703362110569,0.7266105535772095,0.733229663788943,18534,18649
Quemchi,10,0.23174157303370788,0.22551988693720978,0.7682584269662921,0.7744801130627902,4984,4953
Quilaco,8,0.26090868196131356,0.25419881979119385,0.7390913180386864,0.7458011802088061,2223,2203
Quilicura,13,0.3057092081724885,0.2960319345550193,0.6942907918275115,0.7039680654449807,169936,172603
Quilleco,8,0.2735058309037901,0.266985822132204,0.7264941690962099,0.733014177867796,5488,5431
Quillota,5,0.29341600546476804,0.28775973459053605,0.706583994535232,0.712240265409464,57093,57270
Quillón,16,0.2497584541062802,0.24433907489839365,0.7502415458937198,0.7556609251016063,10350,10334
Quilpué,5,0.2996762960920667,0.2939751186040356,0.7003237039079333,0.7060248813959644,97929,98226
Quinchao,10,0.22692307692307692,0.220952791549903,0.7730769230769231,0.779047208450097,4680,4639
Quinta Normal,13,0.31058508674787744,0.30081244677668073,0.6894149132521226,0.6991875532233193,86688,86898
Quinta de Tilcoco,6,0.24596137495445158,0.239378489924739,0.7540386250455484,0.760621510075261,8233,8238
Quintero,5,0.2876478130787862,0.2821319558581827,0.7123521869212138,0.7178680441418174,21057,21295
Quirihue,16,0.2390279823269514,0.233278955954323,0.7609720176730486,0.766721044045677,6790,6743
Rancagua,6,0.2814342095276646,0.2744723263060949,0.7185657904723354,0.7255276736939051,158108,158526
Rauco,7,0.26425187222986396,0.25863906226214034,0.735748127770136,0.7413609377378596,6543,6569
Recoleta,13,0.30780350422450964,0.29803245536972267,0.6921964957754904,0.7019675446302773,120369,120658
Renaico,9,0.2784708893154191,0.2722328854766475,0.7215291106845809,0.7277671145233525,6252,6252
Renca,13,0.305273999143434,0.2955120875530872,0.694726000856566,0.7044879124469128,98066,97952
Rengo,6,0.2761621736361707,0.26943238377634227,0.7238378263638293,0.7305676162236577,37688,37772
Requínoa,6,0.2657787442239739,0.2594553706505295,0.7342212557760261,0.7405446293494705,18395,18508
Retiro,7,0.23507957559681697,0.23015609432082365,0.764920424403183,0.7698439056791764,12064,12044
Rinconada,5,0.26561099492082463,0.2608054285292816,0.7343890050791754,0.7391945714707184,6694,6779
Romeral,7,0.2543832666871732,0.24869990822881616,0.7456167333128269,0.7513000917711838,9753,9807
Ránquil,16,0.20951509606587373,0.20521472392638038,0.7904849039341263,0.7947852760736196,3279,3260
Río Bueno,14,0.2554615549368173,0.24905680715748627,0.7445384450631827,0.7509431928425138,18676,18554
Río Claro,7,0.26439035644249625,0.25921219822109276,0.7356096435575038,0.7407878017789072,8669,8657
Río Hurtado,4,0.22762814943527368,0.2233948988566403,0.7723718505647263,0.7766051011433597,2302,2274
Río Ibáñez,11,0.22330729166666666,0.21423905943827565,0.7766927083333334,0.7857609405617244,1536,1531
Río Negro,10,0.24653913918952933,0.24003554201574004,0.7534608608104707,0.7599644579842599,7946,7878
Río Verde,12,0.18493150684931506,0.1780821917808219,0.815068493150685,0.821917808219178,146,146
Saavedra,9,0.24427934621099553,0.238687443811807,0.7557206537890044,0.7613125561881929,6730,6674
Sagrada Familia,7,0.26132826011760635,0.25585429314830876,0.7386717398823937,0.7441457068516912,11564,11530
Salamanca,4,0.2429739244584999,0.23724474608561053,0.7570260755415001,0.7627552539143895,16759,16797
