region_id,Comuna,antagonism_2023,HHI_2022,Coalición_DER_IND,Coalicion_DER,Votos derecha,Votos PDG,Edad_Tramo1_2022,Edad_Tramo2_2022,Poblacion 2022_hombre,Poblacion 2022_mujer,NO,riqueza_2022,T_Homicidio_2022,Poblacion 2022
5,ALGARROBO,0.0538584349743822,0.1917496535574278,1.0,1.0,0.6218089602704987,0.0,0.2378371868978805,0.7621628131021194,0.490486426239949,0.5095135737600509,0.3518462924046833,9810800,0.0,15668
13,ALHUE,0.0632768420005124,0.3543988169327013,0.0,0.0,0.5486858573216521,0.065081351689612,0.2820841341020713,0.7179158658979287,0.5072852118573103,0.4927147881426896,0.5004638218923934,1903900,0.0,7649
8,ALTO BIOBIO,0.1647222502063938,0.2680786271266541,0.0,0.0,0.7247301275760549,0.0785083415112855,0.3076131687242798,0.6923868312757202,0.5078891257995736,0.4921108742004264,0.2128106018774158,184000,0.0,6793
3,ALTO DEL CARMEN,0.0648284004254433,0.3018915553294263,0.0,0.0,0.5450132391879965,0.1195939982347749,0.2260450160771704,0.7739549839228296,0.5246776345042241,0.4753223654957759,0.3301415487094088,159600,0.0,5767
1,ALTO HOSPICIO,0.0586224695454766,0.2310879343465889,0.0,0.0,0.5896153323365503,0.128856871007204,0.3430593984692227,0.6569406015307773,0.5000535320442817,0.4999464679557183,0.542694965449161,24738900,12.3849835717,137263
10,ANCUD,0.0741874932820516,0.2995702674881492,1.0,0.0,0.5595771789910812,0.0674814779859374,0.2349499677211104,0.7650500322788896,0.4942511437515049,0.5057488562484951,0.5408491298082253,8795000,2.352553697,42507
4,ANDACOLLO,0.0584416432697111,0.229654072528683,1.0,0.0,0.413079595227307,0.0980214469113427,0.2718534094322619,0.728146590567738,0.4922991689750692,0.5077008310249308,0.4696164344203419,3630500,16.9090294217,11828
9,ANGOL,0.0625905841510042,0.2039355502501432,1.0,1.0,0.7193955138765682,0.0482828538841718,0.2617549978202653,0.7382450021797347,0.4754768708905462,0.5245231291094538,0.4378930485797493,11632800,5.3119909342,56476
12,ANTARTICA,0.0,1.0,0.0,0.0,0.8545454545454545,0.0363636363636363,0.0588235294117647,0.9411764705882352,0.696,0.304,0.0377358490566037,1500,0.0,144
2,ANTOFAGASTA,0.0945347444165786,0.1204366832260122,1.0,0.0,0.5166544043876664,0.1062526475375114,0.3256776130659523,0.6743223869340477,0.4972438226198697,0.5027561773801303,0.6150605900720507,167740800,3.1972010788,437883
8,ANTUCO,0.0676014629140831,0.2508096869099189,1.0,0.0,0.6236597569692638,0.0847033595425303,0.2590717299578059,0.7409282700421941,0.4832746478873239,0.516725352112676,0.5861937452326468,154700,0.0,4317
8,ARAUCO,0.0848412628171604,0.1650841388567629,1.0,0.0,0.6751278928136419,0.0739585870889159,0.2596166498530637,0.7403833501469362,0.4840630709886986,0.5159369290113014,0.5701838588200546,7744300,5.1501261781,38834
15,ARICA,0.0748585238724657,0.2130336213671715,0.0,0.0,0.5140254768662135,0.0765437453444845,0.3116783341832849,0.6883216658167152,0.4993743160672492,0.5006256839327508,0.5877224056954142,38194400,7.9012345679,253125
11,AYSEN,0.0741570145791131,0.1710140934152223,0.0,0.0,0.4856086612094006,0.0446263533139688,0.2476457623722701,0.7523542376277299,0.5070823049683443,0.4929176950316558,0.5795847750865052,4284900,0.0,25138
13,BUIN,0.0721761562552887,0.2097384338378812,1.0,1.0,0.5930032691853999,0.0649624212193724,0.2823991381021236,0.7176008618978764,0.4937190489012726,0.5062809510987274,0.4740715958514553,33454500,8.7697758445,114028
16,BULNES,0.0562215193063174,0.2299041109156422,1.0,0.0,0.6990072519890164,0.0499190311905935,0.2577885898140155,0.7422114101859845,0.477595072611177,0.5224049273888229,0.4205743677668238,7047800,0.0,22703
5,CABILDO,0.054908342193252,0.2368321277465827,0.0,0.0,0.5123783506914803,0.0,0.2610068259385665,0.7389931740614335,0.4893154190658989,0.5106845809341011,0.6543021864462091,4610200,4.8227634435,20735
12,CABO DE HORNOS(EX-NAVARINO),0.0312062841530748,0.4511023832381219,0.0,0.0,0.7105855855855856,0.0247747747747747,0.272300469483568,0.7276995305164319,0.5367594575303355,0.4632405424696645,0.1438278595696489,810300,50.5561172902,1978
8,CABRERO,0.0591358623254155,0.2138854462436916,1.0,0.0,0.6917558768347865,0.0841518596181437,0.2633697210276767,0.7366302789723232,0.4863404005698483,0.5136595994301517,0.5478159266582779,6296300,0.0,30937
2,CALAMA,0.0559886642833823,0.1201388487776796,0.0,0.0,0.5918629184010948,0.1281005873296458,0.2943182002235143,0.7056817997764856,0.5002943926852076,0.4997056073147923,0.6150440386342508,39096300,7.7091095978,194575
10,CALBUCO,0.095418947366772,0.3017310734210559,1.0,0.0,0.6644916023604176,0.0839763958238765,0.2649888971132494,0.7350111028867505,0.5022124664645831,0.4977875335354169,0.3496946741903068,7331000,8.0599661481,37221
3,CALDERA,0.066249936625675,0.1899193972937121,0.0,0.0,0.4919440197577325,0.0867928966247206,0.2705161854768154,0.7294838145231846,0.5102651257647859,0.4897348742352141,0.5361622073578596,4591100,20.2572672946,19746
5,CALERA,0.0594493117397917,0.202530025934042,1.0,0.0,0.5268891818749566,0.0,0.2928666515146595,0.7071333484853405,0.4846218995765275,0.5153781004234724,0.667710843373494,13671200,1.8584251705,53809
13,CALERA DE TANGO,0.0545903649330098,0.189098076352238,1.0,1.0,0.6298302196799124,0.0471003468630195,0.2912739099277879,0.7087260900722121,0.4975705433958899,0.50242945660411,0.4412052117263844,11650700,3.393281303,29470
