region_id,Comuna,antagonism_2022,HHI_2021,Coalición_DER_IND,Coalicion_DER,Votos LP,Edad_Tramo1_2021,Edad_Tramo2_2021,Poblacion 2021_hombre,Poblacion 2021_mujer,NO,riqueza_2021,T_Homicidio_2021
5,ALGARROBO,0.0511811439646036,0.2322428734246321,1.0,1.0,0.1832868262593626,0.2429679922405431,0.7570320077594569,0.490266060999351,0.5097339390006489,0.3518462924046833,8068200,6.47836227
13,ALHUE,0.0762888873605994,0.365042788908269,0.0,0.0,0.1437021572720946,0.2911091929218817,0.7088908070781182,0.5071550255536627,0.4928449744463373,0.5004638218923934,1844700,0.0
8,ALTO BIOBIO,0.161659699615923,0.286206375983667,0.0,0.0,0.0,0.3147482014388489,0.685251798561151,0.5074978577549272,0.4925021422450728,0.2128106018774158,129200,0.0
3,ALTO DEL CARMEN,0.0747131800382076,0.354666712532572,0.0,0.0,0.0,0.2342601470118248,0.7657398529881752,0.5244802146210596,0.4755197853789403,0.3301415487094088,136400,0.0
1,ALTO HOSPICIO,0.0575403599590584,0.2823373294896267,0.0,0.0,0.0,0.351965985811084,0.6480340141889159,0.500423100170339,0.4995768998296609,0.542694965449161,24325200,12.6785248163
10,ANCUD,0.0682714672214968,0.3015233904312114,1.0,0.0,0.0,0.2412712443248021,0.7587287556751979,0.4942215768136987,0.5057784231863012,0.5408491298082253,8655300,0.0
4,ANDACOLLO,0.0457495311541946,0.2363538030934186,1.0,0.0,0.2744516893894487,0.2788749251944943,0.7211250748055057,0.4922101046071667,0.5077898953928333,0.4696164344203419,2969500,0.0
9,ANGOL,0.0533640355927141,0.228314073662499,1.0,1.0,0.1015265502885107,0.267978733327115,0.732021266672885,0.4759509661722734,0.5240490338277266,0.4378930485797493,12445400,1.7765460392
12,ANTARTICA,0.0,0.8828125,0.0,0.0,0.0,0.0603448275862069,0.9396551724137931,0.6967213114754098,0.3032786885245901,0.0377358490566037,1600,0.0
2,ANTOFAGASTA,0.0604751544612092,0.1107586817606029,1.0,0.0,0.1191435819796227,0.3351457397092737,0.6648542602907263,0.497452020140595,0.502547979859405,0.6150605900720507,151213600,1.8445420002
8,ANTUCO,0.0682391473945036,0.4019383523851884,1.0,0.0,0.0,0.2642857142857143,0.7357142857142858,0.483338248304335,0.516661751695665,0.5861937452326468,140100,0.0
8,ARAUCO,0.0678721950968666,0.192111978764645,1.0,0.0,0.0,0.2662993572084481,0.7337006427915519,0.4842320122469807,0.5157679877530192,0.5701838588200546,6568300,5.1587608656
15,ARICA,0.0771188507135174,0.210829309333599,0.0,0.0,0.0,0.316566645082476,0.6834333549175239,0.4985381901148754,0.5014618098851246,0.5877224056954142,34268400,6.3797125142
11,AYSEN,0.0639508069593124,0.183905107420456,0.0,0.0,0.0,0.2566294836684256,0.7433705163315744,0.5077837837837837,0.4922162162162162,0.5795847750865052,3969200,0.0
13,BUIN,0.0709327781288823,0.2213355408185103,1.0,1.0,0.1554222888555722,0.2918789029900141,0.7081210970099859,0.4933091187153507,0.5066908812846492,0.4740715958514553,32682200,0.0
16,BULNES,0.0529496797413321,0.2490348473508684,1.0,0.0,0.1669535283993115,0.2638194878201124,0.7361805121798876,0.47815465030396,0.52184534969604,0.4205743677668238,6761400,0.0
5,CABILDO,0.0604849033984273,0.2245340074769051,0.0,0.0,0.0970357941834451,0.266156462585034,0.733843537414966,0.488914594177752,0.5110854058222479,0.6543021864462091,4520800,4.8274197441
12,CABO DE HORNOS(EX-NAVARINO),0.0280992163491545,0.206235993481946,0.0,0.0,0.0,0.2807843137254902,0.7192156862745098,0.5358680057388809,0.464131994261119,0.1438278595696489,557900,0.0
