region_id,Región,Comuna,Pacto,Partido,Nro.voto,Nombres,Primer apellido,Segundo apellido,Votos,Cargo,Coalicion1,Coalicion2
4,DE COQUIMBO,LOS VILOS,INDEPENDIENTES,INDEPENDIENTES,253.0,CHRISTIAN FRANK,GROSS,HIDALGO,1899,ALCALDE,1,0
4,DE COQUIMBO,MONTE PATRIA,INDEPENDIENTES,INDEPENDIENTES,253.0,CRISTIAN DANIEL,HERRERA,PEÑA,6531,ALCALDE,1,0
4,DE COQUIMBO,OVALLE,INDEPENDIENTES,INDEPENDIENTES,254.0,CLAUDIO FERMIN,RENTERIA,LARRONDO,13601,ALCALDE,1,0
4,DE COQUIMBO,PAIHUANO,CHILE VAMOS,RENOVACION NACIONAL,251.0,HERNAN ANDRES,AHUMADA,AHUMADA,1663,ALCALDE,1,1
4,DE COQUIMBO,PUNITAQUI,INDEPENDIENTES,INDEPENDIENTES,255.0,CARLOS ANTONIO,ARAYA,BUGUEÑO,1079,ALCALDE,1,0
4,DE COQUIMBO,RIO HURTADO,INDEPENDIENTES,INDEPENDIENTES,252.0,CARMEN JUANA,OLIVARES,DE LA RIVERA,1147,ALCALDE,1,0
4,DE COQUIMBO,SALAMANCA,INDEPENDIENTES,INDEPENDIENTES,252.0,GERARDO ANDRES,ROJAS,ESCUDERO,3170,ALCALDE,1,0
4,DE COQUIMBO,VICUÑA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,250.0,RAFAEL ENRIQUE,VERA,CASTILLO,5303,ALCALDE,0,0
5,DE VALPARAISO,CABILDO,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,251.0,VICTOR MANUEL,DONOSO,OYANEDEL,4274,ALCALDE,0,0
5,DE VALPARAISO,CALERA,INDEPENDIENTES,INDEPENDIENTES,254.0,JOHNNY ALEXIS,PIRAINO,MENESES,6538,ALCALDE,1,0
5,DE VALPARAISO,CALLE LARGA,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE,250.0,DINA PATRICIA,GONZALEZ,ALFARO,3304,ALCALDE,0,0
5,DE VALPARAISO,CATEMU,INDEPENDIENTES,INDEPENDIENTES,253.0,RODRIGO EDUARDO,DIAZ,BRITO,2204,ALCALDE,1,0
5,DE VALPARAISO,HIJUELAS,INDEPENDIENTES,INDEPENDIENTES,252.0,JOSE RAFAEL,SAAVEDRA,IBACACHE,2936,ALCALDE,1,0
5,DE VALPARAISO,LA CRUZ,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE,250.0,FILOMENA AIDA,NAVIA,HEVIA,3817,ALCALDE,0,0
5,DE VALPARAISO,LA LIGUA,INDEPENDIENTES,INDEPENDIENTES,255.0,PATRICIO DANIEL,PALLARES,VALENZUELA,6632,ALCALDE,1,0
5,DE VALPARAISO,LIMACHE,CHILE VAMOS,RENOVACION NACIONAL,251.0,DANIEL RODRIGO,MORALES,ESPINDOLA,6586,ALCALDE,1,1
5,DE VALPARAISO,LLAILLAY,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,251.0,EDGARDO RAUL,GONZALEZ,ARANCIBIA,5927,ALCALDE,0,0
5,DE VALPARAISO,LOS ANDES,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,253.0,MANUEL EDUARDO ENRIQUE,RIVERA,MARTINEZ,7674,ALCALDE,1,1
5,DE VALPARAISO,NOGALES,CHILE VAMOS,INDEPENDIENTES-LISTA XX,252.0,MARGARITA DE LAS MERCEDES,OSORIO,PIZARRO,5030,ALCALDE,1,1
5,DE VALPARAISO,OLMUE,DIGNIDAD AHORA,PARTIDO HUMANISTA,253.0,JORGE ELIAS,JIL,HERRERA,3877,ALCALDE,0,0
5,DE VALPARAISO,PANQUEHUE,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,250.0,GONZALO ENRIQUE,VERGARA,LIZANA,2005,ALCALDE,0,0
5,DE VALPARAISO,PAPUDO,CHILE VAMOS,RENOVACION NACIONAL,252.0,CLAUDIA ROSARIO,ADASME,DONOSO,1297,ALCALDE,1,1
5,DE VALPARAISO,PETORCA,INDEPENDIENTES,INDEPENDIENTES,255.0,IGNACIO GAMALIER,VILLALOBOS,HENRIQUEZ,1382,ALCALDE,1,0
5,DE VALPARAISO,PUCHUNCAVI,CHILE VAMOS,INDEPENDIENTES-LISTA XX,251.0,MARCOS ANTONIO,MORALES,URETA,3482,ALCALDE,1,1
5,DE VALPARAISO,PUTAENDO,INDEPENDIENTES,INDEPENDIENTES,257.0,MAURICIO ANTONIO,QUIROZ,CHAMORRO,1231,ALCALDE,1,0
5,DE VALPARAISO,QUILLOTA,INDEPENDIENTES,INDEPENDIENTES,253.0,OSCAR RODOLFO,CALDERON,SANCHEZ,16520,ALCALDE,1,0
5,DE VALPARAISO,QUILPUE,FRENTE AMPLIO,CONVERGENCIA SOCIAL,251.0,VALERIA ANDREA,MELIPILLAN,FIGUEROA,19015,ALCALDE,0,0
5,DE VALPARAISO,QUINTERO,INDEPENDIENTES,INDEPENDIENTES,252.0,ISAAC MAURICIO,CARRASCO,PARDO,6208,ALCALDE,1,0
5,DE VALPARAISO,RINCONADA,CHILE VAMOS,INDEPENDIENTES-LISTA XX,251.0,JUAN EMIGDIO,GALDAMES,CARMONA,2293,ALCALDE,1,1
5,DE VALPARAISO,SAN ESTEBAN,INDEPENDIENTES,INDEPENDIENTES,253.0,CHRISTIAN MAURICIO,ORTEGA,VILLAGRAS,4557,ALCALDE,1,0
5,DE VALPARAISO,SAN FELIPE,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K,250.0,CARMEN GISELE,CASTILLO,TAUCHER,8406,ALCALDE,0,0
5,DE VALPARAISO,SANTA MARIA,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA,250.0,MANUEL ENRIQUE,LEON,SAA,3385,ALCALDE,0,0
5,DE VALPARAISO,VILLA ALEMANA,INDEPENDIENTES,INDEPENDIENTES,255.0,JAVIERA ITALIA,TOLEDO,MUÑOZ,17913,ALCALDE,1,0
5,DE VALPARAISO,ZAPALLAR,CHILE VAMOS,INDEPENDIENTES-LISTA XX,250.0,GUSTAVO,ALESSANDRI,BASCUÑAN,3709,ALCALDE,1,1
5,DE VALPARAISO,ALGARROBO,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,250.0,JOSE LUIS,YAÑEZ,MALDONADO,3817,ALCALDE,1,1
5,DE VALPARAISO,CARTAGENA,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA,250.0,LUIS RODRIGO,GARCIA,TAPIA,4395,ALCALDE,0,0
5,DE VALPARAISO,CASABLANCA,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,251.0,FRANCISCO JAVIER,RIQUELME,LOPEZ,4290,ALCALDE,0,0
5,DE VALPARAISO,CONCON,INDEPENDIENTES,INDEPENDIENTES,254.0,FREDDY ANTONIO,RAMIREZ,VILLALOBOS,4884,ALCALDE,1,0
5,DE VALPARAISO,EL QUISCO,INDEPENDIENTES,INDEPENDIENTES,253.0,JOSE ANTONIO,JOFRE,BUSTOS,2806,ALCALDE,1,0
5,DE VALPARAISO,EL TABO,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE,250.0,ALFONSO ADRIAN,MUÑOZ,ARAVENA,2460,ALCALDE,0,0
5,DE VALPARAISO,ISLA DE PASCUA,UNIDOS POR LA DIGNIDAD,PARTIDO PROGRESISTA DE CHILE,250.0,PEDRO PABLO,EDMUNDS,PAOA,2170,ALCALDE,0,0
5,DE VALPARAISO,JUAN FERNANDEZ,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K,250.0,PABLO ANDRES,MANRIQUEZ,ANGULO,511,ALCALDE,0,0
5,DE VALPARAISO,SAN ANTONIO,INDEPENDIENTES,INDEPENDIENTES,254.0,MARIA CONSTANZA,LIZANA,SIERRA,10566,ALCALDE,1,0
5,DE VALPARAISO,SANTO DOMINGO,CHILE VAMOS,RENOVACION NACIONAL,251.0,DINO PAOLO,LOTITO,FLORES,4308,ALCALDE,1,1
5,DE VALPARAISO,VALPARAISO,INDEPENDIENTES,INDEPENDIENTES,255.0,JORGE ESTEBAN,SHARP,FAJARDO,64832,ALCALDE,1,0
